2016-04-19 14:39:43:039   Spec_bSaveImage=1
2016-04-19 14:39:43:041   Spec_MedianA=25
2016-04-19 14:39:43:043   Spec_MedianB=5
2016-04-19 14:39:43:045   Spec_Threshold=25
2016-04-19 14:39:43:049   Spec_NormalPixelLimit=30
2016-04-19 14:39:43:052   Spec_AXStart=0
2016-04-19 14:39:43:056   Spec_AXEnd=400
2016-04-19 14:39:43:058   Spec_AYStart=0
2016-04-19 14:39:43:060   Spec_AYEnd =300
2016-04-19 14:39:43:063   Spec_offset=13
2016-04-19 14:39:43:065   IntensityCntSpc=9
2016-04-19 14:39:43:068   CornerDiff = 700
2016-04-19 14:39:43:070   RangeSpc = 700
