2016-04-19 11:27:43:456   Spec_bSaveImage=1
2016-04-19 11:27:43:461   Spec_MedianA=25
2016-04-19 11:27:43:463   Spec_MedianB=5
2016-04-19 11:27:43:465   Spec_Threshold=15
2016-04-19 11:27:43:467   Spec_NormalPixelLimit=20
2016-04-19 11:27:43:469   Spec_AXStart=0
2016-04-19 11:27:43:471   Spec_AXEnd=400
2016-04-19 11:27:43:472   Spec_AYStart=0
2016-04-19 11:27:43:474   Spec_AYEnd =300
2016-04-19 11:27:43:476   Spec_offset=7
2016-04-19 11:27:43:478   IntensityCntSpc=7
2016-04-19 11:27:43:480   CornerDiff = 80
2016-04-19 11:27:43:483   RangeSpc = 70
