2016-10-17 15:09:025   Output LSCData----->117=0x35
2016-10-17 15:09:025   Output LSCData----->118=0xD0
2016-10-17 15:09:025   Output LSCData----->119=0x36
2016-10-17 15:09:025   Output LSCData----->120=0xA2
2016-10-17 15:09:026   Output LSCData----->121=0x34
2016-10-17 15:09:026   Output LSCData----->122=0x1C
2016-10-17 15:09:026   Output LSCData----->123=0x36
2016-10-17 15:09:026   Output LSCData----->124=0x1F
2016-10-17 15:09:027   Output LSCData----->125=0x35
2016-10-17 15:09:027   Output LSCData----->126=0xCC
2016-10-17 15:09:027   Output LSCData----->127=0x35
2016-10-17 15:09:027   Output LSCData----->128=0x91
2016-10-17 15:09:027   Output LSCData----->129=0x33
2016-10-17 15:09:028   Output LSCData----->130=0x23
2016-10-17 15:09:028   Output LSCData----->131=0x35
2016-10-17 15:09:028   Output LSCData----->132=0xA8
2016-10-17 15:09:028   Output LSCData----->133=0x35
2016-10-17 15:09:029   Output LSCData----->134=0x6B
2016-10-17 15:09:029   Output LSCData----->135=0x36
2016-10-17 15:09:029   Output LSCData----->136=0x41
2016-10-17 15:09:029   Output LSCData----->137=0x34
2016-10-17 15:09:030   Output LSCData----->138=0xD5
2016-10-17 15:09:030   Output LSCData----->139=0x35
2016-10-17 15:09:030   Output LSCData----->140=0xDD
2016-10-17 15:09:030   Output LSCData----->141=0x37
2016-10-17 15:09:031   Output LSCData----->142=0x47
2016-10-17 15:09:031   Output LSCData----->143=0x38
2016-10-17 15:09:031   Output LSCData----->144=0xB4
2016-10-17 15:09:031   Output LSCData----->145=0x36
2016-10-17 15:09:031   Output LSCData----->146=0xFD
2016-10-17 15:09:032   Output LSCData----->147=0x37
2016-10-17 15:09:032   Output LSCData----->148=0x45
2016-10-17 15:09:032   Output LSCData----->149=0x3B
2016-10-17 15:09:032   Output LSCData----->150=0xD4
2016-10-17 15:09:033   Output LSCData----->151=0x3B
2016-10-17 15:09:033   Output LSCData----->152=0x3C
2016-10-17 15:09:033   Output LSCData----->153=0x3A
2016-10-17 15:09:034   Output LSCData----->154=0x40
2016-10-17 15:09:034   Output LSCData----->155=0x3B
2016-10-17 15:09:034   Output LSCData----->156=0xB3
2016-10-17 15:09:034   Output LSCData----->157=0x3F
2016-10-17 15:09:035   Output LSCData----->158=0xE9
2016-10-17 15:09:035   Output LSCData----->159=0x3F
2016-10-17 15:09:035   Output LSCData----->160=0x71
2016-10-17 15:09:035   Output LSCData----->161=0x3E
2016-10-17 15:09:036   Output LSCData----->162=0xB7
2016-10-17 15:09:036   Output LSCData----->163=0x3F
2016-10-17 15:09:036   Output LSCData----->164=0x45
2016-10-17 15:09:036   Output LSCData----->165=0x45
2016-10-17 15:09:036   Output LSCData----->166=0xC1
2016-10-17 15:09:037   Output LSCData----->167=0x45
2016-10-17 15:09:037   Output LSCData----->168=0x56
2016-10-17 15:09:037   Output LSCData----->169=0x44
2016-10-17 15:09:037   Output LSCData----->170=0x54
2016-10-17 15:09:038   Output LSCData----->171=0x45
2016-10-17 15:09:038   Output LSCData----->172=0xA1
2016-10-17 15:09:038   Output LSCData----->173=0x4A
2016-10-17 15:09:038   Output LSCData----->174=0xD1
2016-10-17 15:09:039   Output LSCData----->175=0x4B
2016-10-17 15:09:039   Output LSCData----->176=0xF4
2016-10-17 15:09:039   Output LSCData----->177=0x49
2016-10-17 15:09:039   Output LSCData----->178=0x8E
2016-10-17 15:09:040   Output LSCData----->179=0x4A
2016-10-17 15:09:040   Output LSCData----->180=0x06
2016-10-17 15:09:040   Output LSCData----->181=0x40
2016-10-17 15:09:040   Output LSCData----->182=0x4C
2016-10-17 15:09:041   Output LSCData----->183=0x41
2016-10-17 15:09:041   Output LSCData----->184=0xD7
2016-10-17 15:09:041   Output LSCData----->185=0x3F
2016-10-17 15:09:041   Output LSCData----->186=0x1C
2016-10-17 15:09:042   Output LSCData----->187=0x40
2016-10-17 15:09:042   Output LSCData----->188=0x89
2016-10-17 15:09:042   Output LSCData----->189=0x49
2016-10-17 15:09:042   Output LSCData----->190=0xFE
2016-10-17 15:09:043   Output LSCData----->191=0x4A
2016-10-17 15:09:043   Output LSCData----->192=0x4C
2016-10-17 15:09:043   Output LSCData----->193=0x47
2016-10-17 15:09:043   Output LSCData----->194=0x22
2016-10-17 15:09:044   Output LSCData----->195=0x49
2016-10-17 15:09:044   Output LSCData----->196=0xE3
2016-10-17 15:09:044   Output LSCData----->197=0x4B
2016-10-17 15:09:044   Output LSCData----->198=0xEB
2016-10-17 15:09:045   Output LSCData----->199=0x4C
2016-10-17 15:09:045   Output LSCData----->200=0xF2
2016-10-17 15:09:045   Output LSCData----->201=0x49
2016-10-17 15:09:045   Output LSCData----->202=0xC4
2016-10-17 15:09:045   Output LSCData----->203=0x4B
2016-10-17 15:09:046   Output LSCData----->204=0xBC
2016-10-17 15:09:046   Output LSCData----->205=0x43
2016-10-17 15:09:046   Output LSCData----->206=0xAE
2016-10-17 15:09:046   Output LSCData----->207=0x44
2016-10-17 15:09:047   Output LSCData----->208=0x53
2016-10-17 15:09:047   Output LSCData----->209=0x42
2016-10-17 15:09:047   Output LSCData----->210=0xC9
2016-10-17 15:09:047   Output LSCData----->211=0x43
2016-10-17 15:09:048   Output LSCData----->212=0xB0
2016-10-17 15:09:048   Output LSCData----->213=0x3D
2016-10-17 15:09:048   Output LSCData----->214=0x58
2016-10-17 15:09:048   Output LSCData----->215=0x3E
2016-10-17 15:09:049   Output LSCData----->216=0x63
2016-10-17 15:09:049   Output LSCData----->217=0x3C
2016-10-17 15:09:049   Output LSCData----->218=0xAE
2016-10-17 15:09:049   Output LSCData----->219=0x3D
2016-10-17 15:09:050   Output LSCData----->220=0xB0
2016-10-17 15:09:050   Output LSCData----->221=0x38
2016-10-17 15:09:050   Output LSCData----->222=0x10
2016-10-17 15:09:050   Output LSCData----->223=0x39
2016-10-17 15:09:051   Output LSCData----->224=0x9C
2016-10-17 15:09:051   Output LSCData----->225=0x37
2016-10-17 15:09:051   Output LSCData----->226=0x90
2016-10-17 15:09:051   Output LSCData----->227=0x38
2016-10-17 15:09:052   Output LSCData----->228=0xD1
2016-10-17 15:09:052   Output LSCData----->229=0x34
2016-10-17 15:09:052   Output LSCData----->230=0x25
2016-10-17 15:09:052   Output LSCData----->231=0x35
2016-10-17 15:09:052   Output LSCData----->232=0x80
2016-10-17 15:09:053   Output LSCData----->233=0x33
2016-10-17 15:09:053   Output LSCData----->234=0xA1
2016-10-17 15:09:053   Output LSCData----->235=0x34
2016-10-17 15:09:054   Output LSCData----->236=0x29
2016-10-17 15:09:054   Output LSCData----->237=0x32
2016-10-17 15:09:054   Output LSCData----->238=0x65
2016-10-17 15:09:054   Output LSCData----->239=0x32
2016-10-17 15:09:055   Output LSCData----->240=0x3D
2016-10-17 15:09:055   Output LSCData----->241=0x31
2016-10-17 15:09:055   Output LSCData----->242=0x50
2016-10-17 15:09:055   Output LSCData----->243=0x32
2016-10-17 15:09:056   Output LSCData----->244=0x4C
2016-10-17 15:09:056   Output LSCData----->245=0x31
2016-10-17 15:09:056   Output LSCData----->246=0x92
2016-10-17 15:09:056   Output LSCData----->247=0x31
2016-10-17 15:09:057   Output LSCData----->248=0x1B
2016-10-17 15:09:057   Output LSCData----->249=0x30
2016-10-17 15:09:057   Output LSCData----->250=0x50
2016-10-17 15:09:057   Output LSCData----->251=0x31
2016-10-17 15:09:058   Output LSCData----->252=0xC6
2016-10-17 15:09:058   Output LSCData----->253=0x31
2016-10-17 15:09:058   Output LSCData----->254=0x03
2016-10-17 15:09:058   Output LSCData----->255=0x32
2016-10-17 15:09:059   Output LSCData----->256=0xCB
2016-10-17 15:09:059   Output LSCData----->257=0x30
2016-10-17 15:09:059   Output LSCData----->258=0xEF
2016-10-17 15:09:059   Output LSCData----->259=0x31
2016-10-17 15:09:060   Output LSCData----->260=0x1F
2016-10-17 15:09:060   Output LSCData----->261=0x34
2016-10-17 15:09:060   Output LSCData----->262=0x4D
2016-10-17 15:09:060   Output LSCData----->263=0x34
2016-10-17 15:09:061   Output LSCData----->264=0x1B
2016-10-17 15:09:061   Output LSCData----->265=0x33
2016-10-17 15:09:061   Output LSCData----->266=0x34
2016-10-17 15:09:061   Output LSCData----->267=0x34
2016-10-17 15:09:061   Output LSCData----->268=0xE7
2016-10-17 15:09:062   Output LSCData----->269=0x37
2016-10-17 15:09:062   Output LSCData----->270=0xF2
2016-10-17 15:09:062   Output LSCData----->271=0x37
2016-10-17 15:09:062   Output LSCData----->272=0x00
2016-10-17 15:09:063   Output LSCData----->273=0x37
2016-10-17 15:09:063   Output LSCData----->274=0xD7
2016-10-17 15:09:063   Output LSCData----->275=0x37
2016-10-17 15:09:064   Output LSCData----->276=0xDC
2016-10-17 15:09:064   Output LSCData----->277=0x3C
2016-10-17 15:09:064   Output LSCData----->278=0xF3
2016-10-17 15:09:064   Output LSCData----->279=0x3C
2016-10-17 15:09:065   Output LSCData----->280=0x20
2016-10-17 15:09:065   Output LSCData----->281=0x3C
2016-10-17 15:09:065   Output LSCData----->282=0x13
2016-10-17 15:09:065   Output LSCData----->283=0x3D
2016-10-17 15:09:066   Output LSCData----->284=0xCF
2016-10-17 15:09:066   Output LSCData----->285=0x42
2016-10-17 15:09:066   Output LSCData----->286=0xD1
2016-10-17 15:09:066   Output LSCData----->287=0x42
2016-10-17 15:09:066   Output LSCData----->288=0x1C
2016-10-17 15:09:067   Output LSCData----->289=0x42
2016-10-17 15:09:067   Output LSCData----->290=0xC0
2016-10-17 15:09:067   Output LSCData----->291=0x42
2016-10-17 15:09:067   Output LSCData----->292=0x55
2016-10-17 15:09:068   Output LSCData----->293=0x4A
2016-10-17 15:09:068   Output LSCData----->294=0x38
2016-10-17 15:09:068   Output LSCData----->295=0x4B
2016-10-17 15:09:068   Output LSCData----->296=0x76
2016-10-17 15:09:069   Output LSCData----->297=0x49
2016-10-17 15:09:069   Output LSCData----->298=0x4A
2016-10-17 15:09:069   Output LSCData----->299=0x4A
2016-10-17 15:09:069   Output LSCData----->300=0xF6
