POG Position(146, 64), PixelCount(148), Intensity(10525)
POG Position(65, 70), PixelCount(60), Intensity(5162)
POG Position(128, 70), PixelCount(54), Intensity(4591)
POG Position(192, 64), PixelCount(23), Intensity(104)
POG Position(183, 61), PixelCount(21), Intensity(134)
POG Position(57, 39), PixelCount(145), Intensity(12252)
POG Position(125, 39), PixelCount(148), Intensity(12120)
POG Position(97, 39), PixelCount(47), Intensity(4443)
POG Position(156, 2), PixelCount(291), Intensity(13819)
POG Position(6, 1), PixelCount(273), Intensity(14281)
POG Position(92, 14), PixelCount(147), Intensity(11818)
POG Position(156, 115), PixelCount(290), Intensity(14205)
POG Position(4, 114), PixelCount(291), Intensity(15145)
POG Position(91, 115), PixelCount(147), Intensity(12496)
POG Position(96, 102), PixelCount(55), Intensity(5211)
POG Position(125, 91), PixelCount(148), Intensity(12491)
POG Position(56, 91), PixelCount(150), Intensity(12619)
POG Position(36, 66), PixelCount(146), Intensity(10805)
POG Position(191, 72), PixelCount(24), Intensity(109)
POG Position(91, 65), PixelCount(140), Intensity(14721)
POG Position(146, 64), PixelCount(148), Intensity(10525)
POG Position(65, 70), PixelCount(60), Intensity(5162)
POG Position(128, 70), PixelCount(54), Intensity(4591)
POG Position(192, 64), PixelCount(23), Intensity(104)
POG Position(183, 61), PixelCount(21), Intensity(134)
POG Position(57, 39), PixelCount(145), Intensity(12252)
POG Position(125, 39), PixelCount(148), Intensity(12120)
POG Position(97, 39), PixelCount(47), Intensity(4443)
POG Position(156, 2), PixelCount(291), Intensity(13819)
POG Position(6, 1), PixelCount(273), Intensity(14281)
POG Position(92, 14), PixelCount(147), Intensity(11818)
POG Position(156, 115), PixelCount(290), Intensity(14205)
POG Position(4, 114), PixelCount(291), Intensity(15145)
POG Position(91, 115), PixelCount(147), Intensity(12496)
POG Position(96, 102), PixelCount(55), Intensity(5211)
POG Position(125, 91), PixelCount(148), Intensity(12491)
POG Position(56, 91), PixelCount(150), Intensity(12619)
POG Position(36, 66), PixelCount(146), Intensity(10805)
POG Position(191, 72), PixelCount(24), Intensity(109)
POG Position(91, 65), PixelCount(140), Intensity(14721)
POG Position(146, 64), PixelCount(148), Intensity(10525)
POG Position(65, 70), PixelCount(60), Intensity(5162)
POG Position(128, 70), PixelCount(54), Intensity(4591)
POG Position(192, 64), PixelCount(23), Intensity(104)
POG Position(183, 61), PixelCount(21), Intensity(134)
POG Position(57, 39), PixelCount(145), Intensity(12252)
POG Position(125, 39), PixelCount(148), Intensity(12120)
POG Position(97, 39), PixelCount(47), Intensity(4443)
POG Position(156, 2), PixelCount(291), Intensity(13819)
POG Position(6, 1), PixelCount(273), Intensity(14281)
POG Position(92, 14), PixelCount(147), Intensity(11818)
POG Position(156, 115), PixelCount(290), Intensity(14205)
POG Position(4, 114), PixelCount(291), Intensity(15145)
POG Position(91, 115), PixelCount(147), Intensity(12496)
POG Position(96, 102), PixelCount(55), Intensity(5211)
POG Position(125, 91), PixelCount(148), Intensity(12491)
POG Position(56, 91), PixelCount(150), Intensity(12619)
POG Position(36, 66), PixelCount(146), Intensity(10805)
POG Position(191, 72), PixelCount(24), Intensity(109)
POG Position(91, 65), PixelCount(140), Intensity(14721)
POG Position(146, 64), PixelCount(148), Intensity(10525)
POG Position(65, 70), PixelCount(60), Intensity(5162)
POG Position(128, 70), PixelCount(54), Intensity(4591)
POG Position(192, 64), PixelCount(23), Intensity(104)
POG Position(183, 61), PixelCount(21), Intensity(134)
POG Position(57, 39), PixelCount(145), Intensity(12252)
POG Position(125, 39), PixelCount(148), Intensity(12120)
POG Position(97, 39), PixelCount(47), Intensity(4443)
POG Position(156, 2), PixelCount(291), Intensity(13819)
POG Position(6, 1), PixelCount(273), Intensity(14281)
POG Position(92, 14), PixelCount(147), Intensity(11818)
POG Position(156, 115), PixelCount(290), Intensity(14205)
POG Position(4, 114), PixelCount(291), Intensity(15145)
POG Position(91, 115), PixelCount(147), Intensity(12496)
POG Position(96, 102), PixelCount(55), Intensity(5211)
POG Position(125, 91), PixelCount(148), Intensity(12491)
POG Position(56, 91), PixelCount(150), Intensity(12619)
POG Position(36, 66), PixelCount(146), Intensity(10805)
POG Position(191, 72), PixelCount(24), Intensity(109)
POG Position(91, 65), PixelCount(140), Intensity(14721)
POG Position(146, 64), PixelCount(148), Intensity(10525)
POG Position(65, 70), PixelCount(60), Intensity(5162)
POG Position(128, 70), PixelCount(54), Intensity(4591)
POG Position(192, 64), PixelCount(23), Intensity(104)
POG Position(183, 61), PixelCount(21), Intensity(134)
POG Position(57, 39), PixelCount(145), Intensity(12252)
POG Position(125, 39), PixelCount(148), Intensity(12120)
POG Position(97, 39), PixelCount(47), Intensity(4443)
POG Position(156, 2), PixelCount(291), Intensity(13819)
POG Position(6, 1), PixelCount(273), Intensity(14281)
POG Position(92, 14), PixelCount(147), Intensity(11818)
POG Position(156, 115), PixelCount(269), Intensity(14110)
POG Position(4, 129), PixelCount(134), Intensity(6182)
POG Position(91, 116), PixelCount(138), Intensity(12460)
POG Position(25, 114), PixelCount(141), Intensity(8899)
POG Position(96, 102), PixelCount(55), Intensity(5211)
POG Position(126, 91), PixelCount(141), Intensity(12463)
POG Position(56, 91), PixelCount(144), Intensity(12595)
POG Position(36, 66), PixelCount(135), Intensity(10761)
POG Position(91, 65), PixelCount(137), Intensity(14709)
POG Position(147, 64), PixelCount(139), Intensity(10489)
POG Position(65, 70), PixelCount(55), Intensity(5142)
POG Position(128, 71), PixelCount(52), Intensity(4583)
POG Position(184, 61), PixelCount(15), Intensity(110)
POG Position(126, 39), PixelCount(138), Intensity(12080)
POG Position(57, 39), PixelCount(138), Intensity(12224)
POG Position(97, 39), PixelCount(46), Intensity(4439)
POG Position(192, 38), PixelCount(10), Intensity(61)
POG Position(156, 2), PixelCount(275), Intensity(13753)
POG Position(6, 1), PixelCount(268), Intensity(14261)
POG Position(92, 14), PixelCount(138), Intensity(11781)
POG Position(156, 115), PixelCount(269), Intensity(14110)
POG Position(4, 129), PixelCount(134), Intensity(6182)
POG Position(91, 116), PixelCount(138), Intensity(12460)
POG Position(25, 114), PixelCount(141), Intensity(8899)
POG Position(96, 102), PixelCount(55), Intensity(5211)
POG Position(126, 91), PixelCount(141), Intensity(12463)
POG Position(56, 91), PixelCount(144), Intensity(12595)
POG Position(36, 66), PixelCount(135), Intensity(10761)
POG Position(91, 65), PixelCount(137), Intensity(14709)
POG Position(147, 64), PixelCount(139), Intensity(10489)
POG Position(65, 70), PixelCount(55), Intensity(5142)
POG Position(128, 71), PixelCount(52), Intensity(4583)
POG Position(184, 61), PixelCount(15), Intensity(110)
POG Position(126, 39), PixelCount(138), Intensity(12080)
POG Position(57, 39), PixelCount(138), Intensity(12224)
POG Position(97, 39), PixelCount(46), Intensity(4439)
