
R Channel
200	247	306	365	419	459	506	541	549	549	541	506	474	431	372	329	282	
231	294	353	412	482	553	600	635	658	658	635	600	553	494	435	376	329	
255	317	388	470	553	635	706	753	764	764	741	694	635	564	494	435	357	
274	353	423	517	611	706	776	835	870	870	835	788	706	623	541	470	392	
286	365	447	553	658	753	835	905	952	941	905	847	764	670	588	494	415	
298	376	470	564	682	788	882	952	1011	999	964	882	800	694	600	517	423	
298	376	470	576	682	788	894	964	1023	1011	976	894	800	706	611	517	439	
286	365	447	553	670	776	870	941	976	976	941	870	776	682	588	506	427	
263	341	423	517	611	717	811	870	905	905	870	811	729	647	564	482	404	
239	317	388	459	553	647	717	776	811	811	788	729	658	588	517	447	368	
219	282	341	412	482	553	623	670	694	706	682	647	588	517	459	400	337	
200	247	294	353	412	470	529	564	588	600	588	553	506	459	412	353	306	
169	216	263	306	349	392	435	470	494	506	494	474	443	396	365	321	274	
GR Channel
228	279	335	388	441	497	537	575	588	580	569	539	505	456	405	358	307	
254	313	377	448	518	582	639	678	691	691	671	633	582	524	473	409	350	
277	345	422	499	582	659	729	780	799	799	774	722	659	595	524	460	392	
303	371	454	537	633	722	806	863	889	889	857	806	735	652	575	499	422	
313	390	473	569	671	767	857	927	965	959	927	863	786	697	614	531	445	
320	396	486	588	697	799	889	972	1017	1010	972	902	812	722	633	543	458	
311	396	486	588	703	806	895	978	1023	1023	978	902	818	729	633	550	465	
307	384	473	575	684	786	876	953	991	985	946	876	793	710	620	537	460	
288	364	441	537	633	735	818	889	921	914	889	831	754	665	588	512	435	
264	332	403	486	569	659	742	799	825	831	806	754	684	614	543	473	405	
241	301	364	435	505	582	646	697	722	729	710	671	614	550	492	435	375	
217	269	320	377	441	499	550	595	620	627	614	588	543	492	441	390	339	
192	234	286	335	381	422	465	501	526	533	529	503	467	433	390	347	305	
GB Channel
228	279	335	388	443	490	533	565	575	567	556	533	497	456	407	358	307	
254	313	377	448	512	575	627	659	678	678	659	627	582	524	467	409	350	
277	345	422	499	575	652	722	761	780	780	761	716	659	595	524	460	392	
301	377	454	543	633	722	799	850	876	876	850	806	735	659	575	499	431	
311	396	480	575	678	774	857	921	959	959	927	870	793	703	620	531	445	
326	403	499	601	703	806	895	965	1010	1010	972	908	825	735	639	550	465	
318	403	499	601	710	812	902	978	1023	1023	985	914	831	742	646	556	471	
313	390	480	582	691	793	882	953	991	985	953	889	806	716	627	543	467	
296	364	448	543	639	735	825	889	921	914	889	838	761	678	595	518	441	
271	339	409	492	575	665	742	793	818	825	806	754	691	620	550	480	403	
247	307	364	435	505	575	646	691	716	722	710	671	614	556	492	435	375	
217	269	326	384	441	499	550	588	614	620	614	582	543	492	441	390	339	
192	234	283	332	381	422	465	494	520	526	520	505	467	433	390	347	305	
B Channel
234	291	341	401	451	501	536	583	593	593	568	554	512	462	423	369	313	
263	320	384	458	522	586	650	682	693	693	682	639	597	533	480	426	355	
281	352	426	512	586	671	735	778	799	799	778	735	671	607	533	469	398	
298	384	458	554	639	735	810	863	895	895	863	821	746	661	586	512	440	
323	394	490	586	682	778	863	927	970	959	938	874	799	714	629	533	462	
320	405	501	607	714	810	895	970	1012	1012	980	906	831	735	639	554	469	
320	405	501	607	714	810	906	980	1023	1023	980	916	831	735	650	554	483	
309	394	480	586	693	799	884	948	980	980	948	884	810	725	629	543	472	
302	373	458	543	650	746	831	895	916	916	895	842	767	682	597	522	451	
270	341	416	490	586	671	746	799	831	831	810	767	703	629	554	480	408	
252	309	373	437	512	586	650	703	725	735	714	682	618	565	501	437	380	
220	277	330	384	448	501	554	597	629	629	618	597	554	501	448	394	352	
192	234	288	341	391	430	483	512	529	543	533	512	483	444	405	352	309	
