2016-08-15 11:00:733   Output LSCData----->0=0xFF
2016-08-15 11:00:734   Output LSCData----->1=0x00
2016-08-15 11:00:734   Output LSCData----->2=0x02
2016-08-15 11:00:735   Output LSCData----->3=0x01
2016-08-15 11:00:736   Output LSCData----->4=0x08
2016-08-15 11:00:737   Output LSCData----->5=0x05
2016-08-15 11:00:737   Output LSCData----->6=0xC4
2016-08-15 11:00:738   Output LSCData----->7=0x03
2016-08-15 11:00:739   Output LSCData----->8=0x0C
2016-08-15 11:00:739   Output LSCData----->9=0x00
2016-08-15 11:00:740   Output LSCData----->10=0x0C
2016-08-15 11:00:740   Output LSCData----->11=0x00
2016-08-15 11:00:741   Output LSCData----->12=0x8C
2016-08-15 11:00:741   Output LSCData----->13=0x04
2016-08-15 11:00:742   Output LSCData----->14=0x6A
2016-08-15 11:00:742   Output LSCData----->15=0x03
2016-08-15 11:00:743   Output LSCData----->16=0x0A
2016-08-15 11:00:744   Output LSCData----->17=0x00
2016-08-15 11:00:744   Output LSCData----->18=0x0A
2016-08-15 11:00:745   Output LSCData----->19=0x00
2016-08-15 11:00:745   Output LSCData----->20=0x00
2016-08-15 11:00:746   Output LSCData----->21=0x00
2016-08-15 11:00:747   Output LSCData----->22=0x00
2016-08-15 11:00:747   Output LSCData----->23=0x00
2016-08-15 11:00:748   Output LSCData----->24=0xC2
2016-08-15 11:00:748   Output LSCData----->25=0x01
2016-08-15 11:00:749   Output LSCData----->26=0x00
2016-08-15 11:00:750   Output LSCData----->27=0x00
2016-08-15 11:00:750   Output LSCData----->28=0x00
2016-08-15 11:00:751   Output LSCData----->29=0x00
2016-08-15 11:00:751   Output LSCData----->30=0x00
2016-08-15 11:00:752   Output LSCData----->31=0x30
2016-08-15 11:00:753   Output LSCData----->32=0x78
2016-08-15 11:00:753   Output LSCData----->33=0x30
2016-08-15 11:00:754   Output LSCData----->34=0x80
2016-08-15 11:00:755   Output LSCData----->35=0x40
2016-08-15 11:00:755   Output LSCData----->36=0x00
2016-08-15 11:00:756   Output LSCData----->37=0x00
2016-08-15 11:00:756   Output LSCData----->38=0x00
2016-08-15 11:00:757   Output LSCData----->39=0x40
2016-08-15 11:00:757   Output LSCData----->40=0x7A
2016-08-15 11:00:758   Output LSCData----->41=0x00
2016-08-15 11:00:759   Output LSCData----->42=0x84
2016-08-15 11:00:759   Output LSCData----->43=0x00
2016-08-15 11:00:760   Output LSCData----->44=0x20
2016-08-15 11:00:760   Output LSCData----->45=0x20
2016-08-15 11:00:761   Output LSCData----->46=0x20
2016-08-15 11:00:761   Output LSCData----->47=0x20
2016-08-15 11:00:762   Output LSCData----->48=0x00
2016-08-15 11:00:763   Output LSCData----->49=0x00
2016-08-15 11:00:763   Output LSCData----->50=0x00
2016-08-15 11:00:764   Output LSCData----->51=0x30
2016-08-15 11:00:765   Output LSCData----->52=0x1F
2016-08-15 11:00:765   Output LSCData----->53=0xD0
2016-08-15 11:00:766   Output LSCData----->54=0x29
2016-08-15 11:00:766   Output LSCData----->55=0xD0
2016-08-15 11:00:767   Output LSCData----->56=0x00
2016-08-15 11:00:767   Output LSCData----->57=0x00
2016-08-15 11:00:768   Output LSCData----->58=0x00
2016-08-15 11:00:769   Output LSCData----->59=0x40
2016-08-15 11:00:769   Output LSCData----->60=0x22
2016-08-15 11:00:770   Output LSCData----->61=0x00
2016-08-15 11:00:770   Output LSCData----->62=0x31
2016-08-15 11:00:771   Output LSCData----->63=0x00
2016-08-15 11:00:771   Output LSCData----->64=0x20
2016-08-15 11:00:772   Output LSCData----->65=0x20
2016-08-15 11:00:772   Output LSCData----->66=0x20
2016-08-15 11:00:773   Output LSCData----->67=0x20
2016-08-15 11:00:774   Output LSCData----->68=0x8A
2016-08-15 11:00:774   Output LSCData----->69=0x4A
2016-08-15 11:00:774   Output LSCData----->70=0x02
2016-08-15 11:00:775   Output LSCData----->71=0x40
2016-08-15 11:00:775   Output LSCData----->72=0x66
2016-08-15 11:00:776   Output LSCData----->73=0x40
2016-08-15 11:00:777   Output LSCData----->74=0xDF
2016-08-15 11:00:777   Output LSCData----->75=0x40
2016-08-15 11:00:779   Output LSCData----->76=0x15
2016-08-15 11:00:779   Output LSCData----->77=0x56
2016-08-15 11:00:780   Output LSCData----->78=0xCF
2016-08-15 11:00:780   Output LSCData----->79=0x4A
2016-08-15 11:00:781   Output LSCData----->80=0x19
2016-08-15 11:00:781   Output LSCData----->81=0x4B
2016-08-15 11:00:782   Output LSCData----->82=0x22
2016-08-15 11:00:783   Output LSCData----->83=0x4B
2016-08-15 11:00:783   Output LSCData----->84=0x70
2016-08-15 11:00:784   Output LSCData----->85=0x50
2016-08-15 11:00:784   Output LSCData----->86=0x7E
2016-08-15 11:00:785   Output LSCData----->87=0x46
2016-08-15 11:00:786   Output LSCData----->88=0xBB
2016-08-15 11:00:787   Output LSCData----->89=0x46
2016-08-15 11:00:787   Output LSCData----->90=0x5E
2016-08-15 11:00:788   Output LSCData----->91=0x46
2016-08-15 11:00:788   Output LSCData----->92=0x87
2016-08-15 11:00:789   Output LSCData----->93=0x49
2016-08-15 11:00:789   Output LSCData----->94=0xD1
2016-08-15 11:00:790   Output LSCData----->95=0x40
2016-08-15 11:00:790   Output LSCData----->96=0xBC
2016-08-15 11:00:791   Output LSCData----->97=0x40
2016-08-15 11:00:791   Output LSCData----->98=0x53
2016-08-15 11:00:791   Output LSCData----->99=0x40
2016-08-15 11:00:792   Output LSCData----->100=0x5F
2016-08-15 11:00:793   Output LSCData----->101=0x44
2016-08-15 11:00:794   Output LSCData----->102=0x9A
2016-08-15 11:00:795   Output LSCData----->103=0x3C
2016-08-15 11:00:795   Output LSCData----->104=0x89
2016-08-15 11:00:796   Output LSCData----->105=0x3C
2016-08-15 11:00:797   Output LSCData----->106=0x4B
2016-08-15 11:00:797   Output LSCData----->107=0x3C
2016-08-15 11:00:801   Output LSCData----->108=0xCC
2016-08-15 11:00:802   Output LSCData----->109=0x3F
2016-08-15 11:00:802   Output LSCData----->110=0x5D
2016-08-15 11:00:803   Output LSCData----->111=0x39
2016-08-15 11:00:803   Output LSCData----->112=0x18
2016-08-15 11:00:804   Output LSCData----->113=0x39
2016-08-15 11:00:804   Output LSCData----->114=0xAD
2016-08-15 11:00:805   Output LSCData----->115=0x38
2016-08-15 11:00:806   Output LSCData----->116=0xB6
2016-08-15 11:00:806   Output LSCData----->117=0x3D
2016-08-15 11:00:807   Output LSCData----->118=0xA7
2016-08-15 11:00:807   Output LSCData----->119=0x37
2016-08-15 11:00:808   Output LSCData----->120=0x6A
2016-08-15 11:00:808   Output LSCData----->121=0x37
2016-08-15 11:00:809   Output LSCData----->122=0xF9
2016-08-15 11:00:809   Output LSCData----->123=0x36
2016-08-15 11:00:810   Output LSCData----->124=0x69
2016-08-15 11:00:811   Output LSCData----->125=0x3D
2016-08-15 11:00:811   Output LSCData----->126=0x79
2016-08-15 11:00:812   Output LSCData----->127=0x37
2016-08-15 11:00:812   Output LSCData----->128=0x24
2016-08-15 11:00:813   Output LSCData----->129=0x37
2016-08-15 11:00:814   Output LSCData----->130=0x90
2016-08-15 11:00:814   Output LSCData----->131=0x36
2016-08-15 11:00:815   Output LSCData----->132=0x8D
2016-08-15 11:00:815   Output LSCData----->133=0x3E
2016-08-15 11:00:816   Output LSCData----->134=0xB9
2016-08-15 11:00:816   Output LSCData----->135=0x38
2016-08-15 11:00:817   Output LSCData----->136=0x6D
2016-08-15 11:00:817   Output LSCData----->137=0x38
2016-08-15 11:00:818   Output LSCData----->138=0x70
2016-08-15 11:00:818   Output LSCData----->139=0x37
2016-08-15 11:00:819   Output LSCData----->140=0x77
2016-08-15 11:00:819   Output LSCData----->141=0x41
2016-08-15 11:00:820   Output LSCData----->142=0xEC
2016-08-15 11:00:820   Output LSCData----->143=0x3A
2016-08-15 11:00:820   Output LSCData----->144=0xA3
2016-08-15 11:00:821   Output LSCData----->145=0x3A
2016-08-15 11:00:822   Output LSCData----->146=0xB2
2016-08-15 11:00:823   Output LSCData----->147=0x39
2016-08-15 11:00:823   Output LSCData----->148=0x77
2016-08-15 11:00:824   Output LSCData----->149=0x46
2016-08-15 11:00:825   Output LSCData----->150=0x09
2016-08-15 11:00:825   Output LSCData----->151=0x3F
2016-08-15 11:00:826   Output LSCData----->152=0xE6
2016-08-15 11:00:826   Output LSCData----->153=0x3E
2016-08-15 11:00:827   Output LSCData----->154=0xD7
2016-08-15 11:00:828   Output LSCData----->155=0x3D
2016-08-15 11:00:828   Output LSCData----->156=0xAF
2016-08-15 11:00:829   Output LSCData----->157=0x4C
2016-08-15 11:00:829   Output LSCData----->158=0xEE
2016-08-15 11:00:830   Output LSCData----->159=0x43
2016-08-15 11:00:830   Output LSCData----->160=0xC4
2016-08-15 11:00:831   Output LSCData----->161=0x43
2016-08-15 11:00:832   Output LSCData----->162=0xA0
2016-08-15 11:00:832   Output LSCData----->163=0x42
2016-08-15 11:00:833   Output LSCData----->164=0x67
2016-08-15 11:00:833   Output LSCData----->165=0x55
2016-08-15 11:00:834   Output LSCData----->166=0x86
2016-08-15 11:00:834   Output LSCData----->167=0x4A
2016-08-15 11:00:834   Output LSCData----->168=0x8D
2016-08-15 11:00:835   Output LSCData----->169=0x4A
2016-08-15 11:00:836   Output LSCData----->170=0xF5
2016-08-15 11:00:837   Output LSCData----->171=0x48
2016-08-15 11:00:837   Output LSCData----->172=0xCF
2016-08-15 11:00:838   Output LSCData----->173=0x5D
2016-08-15 11:00:838   Output LSCData----->174=0x52
2016-08-15 11:00:840   Output LSCData----->175=0x51
2016-08-15 11:00:840   Output LSCData----->176=0x2B
2016-08-15 11:00:841   Output LSCData----->177=0x51
2016-08-15 11:00:841   Output LSCData----->178=0xD7
2016-08-15 11:00:842   Output LSCData----->179=0x4F
2016-08-15 11:00:843   Output LSCData----->180=0xA4
2016-08-15 11:00:844   Output LSCData----->181=0x53
2016-08-15 11:00:844   Output LSCData----->182=0xF5
2016-08-15 11:00:845   Output LSCData----->183=0x46
2016-08-15 11:00:845   Output LSCData----->184=0x71
2016-08-15 11:00:846   Output LSCData----->185=0x47
2016-08-15 11:00:846   Output LSCData----->186=0x15
2016-08-15 11:00:847   Output LSCData----->187=0x46
2016-08-15 11:00:847   Output LSCData----->188=0x89
2016-08-15 11:00:848   Output LSCData----->189=0x53
2016-08-15 11:00:849   Output LSCData----->190=0x3A
2016-08-15 11:00:849   Output LSCData----->191=0x48
2016-08-15 11:00:850   Output LSCData----->192=0x5C
2016-08-15 11:00:850   Output LSCData----->193=0x48
2016-08-15 11:00:851   Output LSCData----->194=0x41
2016-08-15 11:00:851   Output LSCData----->195=0x48
2016-08-15 11:00:852   Output LSCData----->196=0xB2
2016-08-15 11:00:852   Output LSCData----->197=0x54
2016-08-15 11:00:853   Output LSCData----->198=0xD4
2016-08-15 11:00:854   Output LSCData----->199=0x49
2016-08-15 11:00:854   Output LSCData----->200=0x35
2016-08-15 11:00:855   Output LSCData----->201=0x4A
2016-08-15 11:00:855   Output LSCData----->202=0x6B
2016-08-15 11:00:856   Output LSCData----->203=0x4A
2016-08-15 11:00:857   Output LSCData----->204=0xD1
2016-08-15 11:00:857   Output LSCData----->205=0x4B
2016-08-15 11:00:858   Output LSCData----->206=0x5C
2016-08-15 11:00:859   Output LSCData----->207=0x42
2016-08-15 11:00:859   Output LSCData----->208=0xC1
2016-08-15 11:00:860   Output LSCData----->209=0x42
2016-08-15 11:00:860   Output LSCData----->210=0x93
2016-08-15 11:00:861   Output LSCData----->211=0x42
2016-08-15 11:00:861   Output LSCData----->212=0x6C
2016-08-15 11:00:862   Output LSCData----->213=0x44
2016-08-15 11:00:862   Output LSCData----->214=0x90
2016-08-15 11:00:863   Output LSCData----->215=0x3C
2016-08-15 11:00:864   Output LSCData----->216=0xA0
2016-08-15 11:00:864   Output LSCData----->217=0x3C
2016-08-15 11:00:865   Output LSCData----->218=0xBF
2016-08-15 11:00:865   Output LSCData----->219=0x3C
2016-08-15 11:00:866   Output LSCData----->220=0xEB
2016-08-15 11:00:866   Output LSCData----->221=0x3E
2016-08-15 11:00:867   Output LSCData----->222=0x12
2016-08-15 11:00:867   Output LSCData----->223=0x38
2016-08-15 11:00:868   Output LSCData----->224=0x2B
2016-08-15 11:00:869   Output LSCData----->225=0x38
2016-08-15 11:00:869   Output LSCData----->226=0x36
2016-08-15 11:00:870   Output LSCData----->227=0x38
2016-08-15 11:00:870   Output LSCData----->228=0x01
2016-08-15 11:00:871   Output LSCData----->229=0x3A
2016-08-15 11:00:872   Output LSCData----->230=0x7E
2016-08-15 11:00:872   Output LSCData----->231=0x34
2016-08-15 11:00:873   Output LSCData----->232=0x5C
2016-08-15 11:00:873   Output LSCData----->233=0x34
2016-08-15 11:00:874   Output LSCData----->234=0x4D
2016-08-15 11:00:875   Output LSCData----->235=0x34
2016-08-15 11:00:875   Output LSCData----->236=0x78
2016-08-15 11:00:876   Output LSCData----->237=0x37
2016-08-15 11:00:876   Output LSCData----->238=0x8C
2016-08-15 11:00:877   Output LSCData----->239=0x32
2016-08-15 11:00:877   Output LSCData----->240=0x65
2016-08-15 11:00:878   Output LSCData----->241=0x32
2016-08-15 11:00:879   Output LSCData----->242=0x37
2016-08-15 11:00:879   Output LSCData----->243=0x32
2016-08-15 11:00:880   Output LSCData----->244=0xED
2016-08-15 11:00:880   Output LSCData----->245=0x36
2016-08-15 11:00:881   Output LSCData----->246=0x51
2016-08-15 11:00:882   Output LSCData----->247=0x32
2016-08-15 11:00:882   Output LSCData----->248=0x1A
2016-08-15 11:00:883   Output LSCData----->249=0x32
2016-08-15 11:00:883   Output LSCData----->250=0xD1
2016-08-15 11:00:884   Output LSCData----->251=0x31
2016-08-15 11:00:884   Output LSCData----->252=0x27
2016-08-15 11:00:885   Output LSCData----->253=0x38
2016-08-15 11:00:886   Output LSCData----->254=0x69
2016-08-15 11:00:886   Output LSCData----->255=0x33
2016-08-15 11:00:887   Output LSCData----->256=0x37
2016-08-15 11:00:887   Output LSCData----->257=0x33
2016-08-15 11:00:888   Output LSCData----->258=0xFE
2016-08-15 11:00:889   Output LSCData----->259=0x32
2016-08-15 11:00:889   Output LSCData----->260=0x20
2016-08-15 11:00:890   Output LSCData----->261=0x3B
2016-08-15 11:00:890   Output LSCData----->262=0xD9
2016-08-15 11:00:891   Output LSCData----->263=0x35
2016-08-15 11:00:892   Output LSCData----->264=0x95
2016-08-15 11:00:892   Output LSCData----->265=0x35
2016-08-15 11:00:893   Output LSCData----->266=0x3D
2016-08-15 11:00:893   Output LSCData----->267=0x35
2016-08-15 11:00:894   Output LSCData----->268=0xAD
2016-08-15 11:00:894   Output LSCData----->269=0x40
2016-08-15 11:00:895   Output LSCData----->270=0x2C
2016-08-15 11:00:895   Output LSCData----->271=0x3A
2016-08-15 11:00:896   Output LSCData----->272=0x1E
2016-08-15 11:00:897   Output LSCData----->273=0x3A
2016-08-15 11:00:897   Output LSCData----->274=0x81
2016-08-15 11:00:898   Output LSCData----->275=0x39
2016-08-15 11:00:898   Output LSCData----->276=0x17
2016-08-15 11:00:899   Output LSCData----->277=0x47
2016-08-15 11:00:899   Output LSCData----->278=0x6C
2016-08-15 11:00:899   Output LSCData----->279=0x3F
2016-08-15 11:00:900   Output LSCData----->280=0x70
2016-08-15 11:00:900   Output LSCData----->281=0x3F
2016-08-15 11:00:901   Output LSCData----->282=0xB7
2016-08-15 11:00:901   Output LSCData----->283=0x3E
2016-08-15 11:00:902   Output LSCData----->284=0x4E
2016-08-15 11:00:903   Output LSCData----->285=0x4F
2016-08-15 11:00:903   Output LSCData----->286=0x00
2016-08-15 11:00:904   Output LSCData----->287=0x46
2016-08-15 11:00:904   Output LSCData----->288=0x03
2016-08-15 11:00:905   Output LSCData----->289=0x46
2016-08-15 11:00:905   Output LSCData----->290=0xDB
2016-08-15 11:00:907   Output LSCData----->291=0x44
2016-08-15 11:00:908   Output LSCData----->292=0x70
2016-08-15 11:00:908   Output LSCData----->293=0x5A
2016-08-15 11:00:909   Output LSCData----->294=0xB7
2016-08-15 11:00:909   Output LSCData----->295=0x4E
2016-08-15 11:00:910   Output LSCData----->296=0xCB
2016-08-15 11:00:910   Output LSCData----->297=0x4E
2016-08-15 11:00:911   Output LSCData----->298=0xC4
2016-08-15 11:00:912   Output LSCData----->299=0x4D
2016-08-15 11:00:912   Output LSCData----->300=0xBD
2016-08-15 11:00:913   Output LSCData----->301=0x5C
2016-08-15 11:00:913   Output LSCData----->302=0xD3
2016-08-15 11:00:914   Output LSCData----->303=0x4E
2016-08-15 11:00:914   Output LSCData----->304=0x28
2016-08-15 11:00:915   Output LSCData----->305=0x4F
2016-08-15 11:00:915   Output LSCData----->306=0x4A
2016-08-15 11:00:916   Output LSCData----->307=0x4E
2016-08-15 11:00:916   Output LSCData----->308=0x43
2016-08-15 11:00:917   Output LSCData----->309=0x54
2016-08-15 11:00:917   Output LSCData----->310=0xA5
2016-08-15 11:00:918   Output LSCData----->311=0x49
2016-08-15 11:00:919   Output LSCData----->312=0x3A
2016-08-15 11:00:920   Output LSCData----->313=0x4A
2016-08-15 11:00:920   Output LSCData----->314=0xCC
2016-08-15 11:00:921   Output LSCData----->315=0x49
2016-08-15 11:00:921   Output LSCData----->316=0x27
2016-08-15 11:00:922   Output LSCData----->317=0x4F
2016-08-15 11:00:923   Output LSCData----->318=0x83
2016-08-15 11:00:923   Output LSCData----->319=0x45
2016-08-15 11:00:924   Output LSCData----->320=0x1E
2016-08-15 11:00:924   Output LSCData----->321=0x46
2016-08-15 11:00:925   Output LSCData----->322=0xC9
2016-08-15 11:00:925   Output LSCData----->323=0x45
2016-08-15 11:00:926   Output LSCData----->324=0x56
2016-08-15 11:00:927   Output LSCData----->325=0x46
2016-08-15 11:00:927   Output LSCData----->326=0x02
2016-08-15 11:00:928   Output LSCData----->327=0x3E
2016-08-15 11:00:928   Output LSCData----->328=0x13
2016-08-15 11:00:929   Output LSCData----->329=0x3E
2016-08-15 11:00:929   Output LSCData----->330=0xF0
2016-08-15 11:00:930   Output LSCData----->331=0x3D
2016-08-15 11:00:930   Output LSCData----->332=0x3D
2016-08-15 11:00:931   Output LSCData----->333=0x3F
2016-08-15 11:00:932   Output LSCData----->334=0x24
2016-08-15 11:00:932   Output LSCData----->335=0x38
2016-08-15 11:00:933   Output LSCData----->336=0x3D
2016-08-15 11:00:933   Output LSCData----->337=0x38
2016-08-15 11:00:934   Output LSCData----->338=0x22
2016-08-15 11:00:934   Output LSCData----->339=0x38
2016-08-15 11:00:936   Output LSCData----->340=0xBA
2016-08-15 11:00:937   Output LSCData----->341=0x38
2016-08-15 11:00:938   Output LSCData----->342=0x22
2016-08-15 11:00:939   Output LSCData----->343=0x33
2016-08-15 11:00:940   Output LSCData----->344=0x2B
2016-08-15 11:00:940   Output LSCData----->345=0x33
2016-08-15 11:00:941   Output LSCData----->346=0x2C
2016-08-15 11:00:941   Output LSCData----->347=0x33
2016-08-15 11:00:942   Output LSCData----->348=0x6D
2016-08-15 11:00:943   Output LSCData----->349=0x33
2016-08-15 11:00:943   Output LSCData----->350=0x39
2016-08-15 11:00:944   Output LSCData----->351=0x2F
2016-08-15 11:00:944   Output LSCData----->352=0x36
