2016-08-12 22:41:364   Output LSCData----->0=0xFF
2016-08-12 22:41:365   Output LSCData----->1=0x00
2016-08-12 22:41:365   Output LSCData----->2=0x02
2016-08-12 22:41:366   Output LSCData----->3=0x01
2016-08-12 22:41:366   Output LSCData----->4=0x08
2016-08-12 22:41:371   Output LSCData----->5=0x05
2016-08-12 22:41:372   Output LSCData----->6=0xC4
2016-08-12 22:41:372   Output LSCData----->7=0x03
2016-08-12 22:41:373   Output LSCData----->8=0x0C
2016-08-12 22:41:373   Output LSCData----->9=0x00
2016-08-12 22:41:373   Output LSCData----->10=0x0C
2016-08-12 22:41:374   Output LSCData----->11=0x00
2016-08-12 22:41:374   Output LSCData----->12=0x8C
2016-08-12 22:41:375   Output LSCData----->13=0x04
2016-08-12 22:41:375   Output LSCData----->14=0x6A
2016-08-12 22:41:376   Output LSCData----->15=0x03
2016-08-12 22:41:376   Output LSCData----->16=0x0A
2016-08-12 22:41:376   Output LSCData----->17=0x00
2016-08-12 22:41:377   Output LSCData----->18=0x0A
2016-08-12 22:41:377   Output LSCData----->19=0x00
2016-08-12 22:41:378   Output LSCData----->20=0x00
2016-08-12 22:41:378   Output LSCData----->21=0x00
2016-08-12 22:41:378   Output LSCData----->22=0x00
2016-08-12 22:41:379   Output LSCData----->23=0x00
2016-08-12 22:41:379   Output LSCData----->24=0xC2
2016-08-12 22:41:380   Output LSCData----->25=0x01
2016-08-12 22:41:380   Output LSCData----->26=0x00
2016-08-12 22:41:381   Output LSCData----->27=0x00
2016-08-12 22:41:381   Output LSCData----->28=0x00
2016-08-12 22:41:382   Output LSCData----->29=0x00
2016-08-12 22:41:382   Output LSCData----->30=0x00
2016-08-12 22:41:382   Output LSCData----->31=0x30
2016-08-12 22:41:383   Output LSCData----->32=0x78
2016-08-12 22:41:383   Output LSCData----->33=0x30
2016-08-12 22:41:384   Output LSCData----->34=0x80
2016-08-12 22:41:384   Output LSCData----->35=0x40
2016-08-12 22:41:385   Output LSCData----->36=0x00
2016-08-12 22:41:386   Output LSCData----->37=0x00
2016-08-12 22:41:386   Output LSCData----->38=0x00
2016-08-12 22:41:437   Output LSCData----->39=0x40
2016-08-12 22:41:438   Output LSCData----->40=0x7A
2016-08-12 22:41:439   Output LSCData----->41=0x00
2016-08-12 22:41:441   Output LSCData----->42=0x84
2016-08-12 22:41:442   Output LSCData----->43=0x00
2016-08-12 22:41:444   Output LSCData----->44=0x20
2016-08-12 22:41:445   Output LSCData----->45=0x20
2016-08-12 22:41:446   Output LSCData----->46=0x20
2016-08-12 22:41:447   Output LSCData----->47=0x20
