2014-11-15 13:02:678   Output LSCData----->0=0xFF
2014-11-15 13:02:679   Output LSCData----->1=0x00
2014-11-15 13:02:680   Output LSCData----->2=0x02
2014-11-15 13:02:680   Output LSCData----->3=0x01
2014-11-15 13:02:680   Output LSCData----->4=0x00
2014-11-15 13:02:680   Output LSCData----->5=0x00
2014-11-15 13:02:681   Output LSCData----->6=0x00
2014-11-15 13:02:681   Output LSCData----->7=0x00
2014-11-15 13:02:681   Output LSCData----->8=0x0C
2014-11-15 13:02:681   Output LSCData----->9=0x00
2014-11-15 13:02:682   Output LSCData----->10=0x0C
2014-11-15 13:02:682   Output LSCData----->11=0x00
2014-11-15 13:02:682   Output LSCData----->12=0x38
2014-11-15 13:02:683   Output LSCData----->13=0x08
2014-11-15 13:02:683   Output LSCData----->14=0x18
2014-11-15 13:02:683   Output LSCData----->15=0x06
2014-11-15 13:02:683   Output LSCData----->16=0x0A
2014-11-15 13:02:684   Output LSCData----->17=0x00
2014-11-15 13:02:684   Output LSCData----->18=0x0A
2014-11-15 13:02:684   Output LSCData----->19=0x00
2014-11-15 13:02:684   Output LSCData----->20=0x00
2014-11-15 13:02:685   Output LSCData----->21=0x00
2014-11-15 13:02:685   Output LSCData----->22=0x00
2014-11-15 13:02:685   Output LSCData----->23=0x00
2014-11-15 13:02:685   Output LSCData----->24=0xE0
2014-11-15 13:02:686   Output LSCData----->25=0x00
2014-11-15 13:02:686   Output LSCData----->26=0x00
2014-11-15 13:02:686   Output LSCData----->27=0x00
2014-11-15 13:02:686   Output LSCData----->28=0x00
2014-11-15 13:02:687   Output LSCData----->29=0x00
2014-11-15 13:02:687   Output LSCData----->30=0x00
2014-11-15 13:02:687   Output LSCData----->31=0x30
2014-11-15 13:02:687   Output LSCData----->32=0x00
2014-11-15 13:02:688   Output LSCData----->33=0xE0
2014-11-15 13:02:688   Output LSCData----->34=0x00
2014-11-15 13:02:688   Output LSCData----->35=0xE0
2014-11-15 13:02:688   Output LSCData----->36=0x00
2014-11-15 13:02:689   Output LSCData----->37=0x00
2014-11-15 13:02:689   Output LSCData----->38=0x00
2014-11-15 13:02:689   Output LSCData----->39=0x40
2014-11-15 13:02:689   Output LSCData----->40=0x00
2014-11-15 13:02:690   Output LSCData----->41=0x00
2014-11-15 13:02:690   Output LSCData----->42=0x00
2014-11-15 13:02:690   Output LSCData----->43=0x00
2014-11-15 13:02:690   Output LSCData----->44=0x20
2014-11-15 13:02:691   Output LSCData----->45=0x20
2014-11-15 13:02:691   Output LSCData----->46=0x20
2014-11-15 13:02:691   Output LSCData----->47=0x20
2014-11-15 13:02:691   Output LSCData----->48=0x00
2014-11-15 13:02:692   Output LSCData----->49=0x00
2014-11-15 13:02:692   Output LSCData----->50=0x00
2014-11-15 13:02:692   Output LSCData----->51=0x30
2014-11-15 13:02:692   Output LSCData----->52=0x6F
2014-11-15 13:02:693   Output LSCData----->53=0x60
2014-11-15 13:02:693   Output LSCData----->54=0x50
2014-11-15 13:02:693   Output LSCData----->55=0xC0
2014-11-15 13:02:693   Output LSCData----->56=0x00
2014-11-15 13:02:694   Output LSCData----->57=0x00
2014-11-15 13:02:694   Output LSCData----->58=0x00
2014-11-15 13:02:694   Output LSCData----->59=0x40
2014-11-15 13:02:694   Output LSCData----->60=0x72
2014-11-15 13:02:695   Output LSCData----->61=0x00
2014-11-15 13:02:695   Output LSCData----->62=0x5C
2014-11-15 13:02:695   Output LSCData----->63=0x00
2014-11-15 13:02:695   Output LSCData----->64=0x20
2014-11-15 13:02:696   Output LSCData----->65=0x20
2014-11-15 13:02:696   Output LSCData----->66=0x20
2014-11-15 13:02:696   Output LSCData----->67=0x20
2014-11-15 13:02:696   Output LSCData----->68=0x20
2014-11-15 13:02:697   Output LSCData----->69=0x60
2014-11-15 13:02:697   Output LSCData----->70=0x3C
2014-11-15 13:02:697   Output LSCData----->71=0x50
2014-11-15 13:02:697   Output LSCData----->72=0xBA
2014-11-15 13:02:698   Output LSCData----->73=0x50
2014-11-15 13:02:698   Output LSCData----->74=0x5D
2014-11-15 13:02:698   Output LSCData----->75=0x4E
2014-11-15 13:02:698   Output LSCData----->76=0x4F
2014-11-15 13:02:699   Output LSCData----->77=0x5E
2014-11-15 13:02:699   Output LSCData----->78=0x63
2014-11-15 13:02:699   Output LSCData----->79=0x50
2014-11-15 13:02:699   Output LSCData----->80=0x4A
2014-11-15 13:02:700   Output LSCData----->81=0x50
