2014-11-17 14:10:390   Output LSCData----->0=0xFF
2014-11-17 14:10:391   Output LSCData----->1=0x00
2014-11-17 14:10:391   Output LSCData----->2=0x02
2014-11-17 14:10:391   Output LSCData----->3=0x01
2014-11-17 14:10:391   Output LSCData----->4=0x00
2014-11-17 14:10:391   Output LSCData----->5=0x00
2014-11-17 14:10:392   Output LSCData----->6=0x00
2014-11-17 14:10:392   Output LSCData----->7=0x00
2014-11-17 14:10:392   Output LSCData----->8=0x0C
2014-11-17 14:10:392   Output LSCData----->9=0x00
2014-11-17 14:10:392   Output LSCData----->10=0x0C
2014-11-17 14:10:392   Output LSCData----->11=0x00
2014-11-17 14:10:392   Output LSCData----->12=0x38
2014-11-17 14:10:392   Output LSCData----->13=0x08
2014-11-17 14:10:392   Output LSCData----->14=0x18
2014-11-17 14:10:393   Output LSCData----->15=0x06
2014-11-17 14:10:393   Output LSCData----->16=0x0A
2014-11-17 14:10:393   Output LSCData----->17=0x00
2014-11-17 14:10:393   Output LSCData----->18=0x0A
2014-11-17 14:10:393   Output LSCData----->19=0x00
2014-11-17 14:10:393   Output LSCData----->20=0x00
2014-11-17 14:10:393   Output LSCData----->21=0x00
2014-11-17 14:10:393   Output LSCData----->22=0x00
2014-11-17 14:10:393   Output LSCData----->23=0x00
2014-11-17 14:10:393   Output LSCData----->24=0xE0
2014-11-17 14:10:394   Output LSCData----->25=0x00
2014-11-17 14:10:394   Output LSCData----->26=0x00
2014-11-17 14:10:394   Output LSCData----->27=0x00
2014-11-17 14:10:394   Output LSCData----->28=0x00
2014-11-17 14:10:394   Output LSCData----->29=0x00
2014-11-17 14:10:394   Output LSCData----->30=0x00
2014-11-17 14:10:394   Output LSCData----->31=0x30
2014-11-17 14:10:394   Output LSCData----->32=0x00
2014-11-17 14:10:394   Output LSCData----->33=0xE0
2014-11-17 14:10:394   Output LSCData----->34=0x00
2014-11-17 14:10:395   Output LSCData----->35=0xE0
2014-11-17 14:10:395   Output LSCData----->36=0x00
2014-11-17 14:10:395   Output LSCData----->37=0x00
2014-11-17 14:10:395   Output LSCData----->38=0x00
2014-11-17 14:10:395   Output LSCData----->39=0x40
2014-11-17 14:10:395   Output LSCData----->40=0x00
