2015-01-23 09:01:181   Output LSCData----->117=0x32
2015-01-23 09:01:181   Output LSCData----->118=0x4E
2015-01-23 09:01:181   Output LSCData----->119=0x31
2015-01-23 09:01:182   Output LSCData----->120=0xD0
2015-01-23 09:01:182   Output LSCData----->121=0x33
2015-01-23 09:01:183   Output LSCData----->122=0xDD
2015-01-23 09:01:183   Output LSCData----->123=0x2F
2015-01-23 09:01:183   Output LSCData----->124=0xF3
2015-01-23 09:01:184   Output LSCData----->125=0x30
2015-01-23 09:01:184   Output LSCData----->126=0x9A
2015-01-23 09:01:185   Output LSCData----->127=0x30
2015-01-23 09:01:185   Output LSCData----->128=0x2D
2015-01-23 09:01:185   Output LSCData----->129=0x33
2015-01-23 09:01:186   Output LSCData----->130=0x39
2015-01-23 09:01:186   Output LSCData----->131=0x2F
2015-01-23 09:01:187   Output LSCData----->132=0x4E
2015-01-23 09:01:187   Output LSCData----->133=0x30
2015-01-23 09:01:187   Output LSCData----->134=0x4E
2015-01-23 09:01:188   Output LSCData----->135=0x31
2015-01-23 09:01:188   Output LSCData----->136=0xE5
2015-01-23 09:01:189   Output LSCData----->137=0x33
2015-01-23 09:01:189   Output LSCData----->138=0xE5
2015-01-23 09:01:189   Output LSCData----->139=0x2F
2015-01-23 09:01:190   Output LSCData----->140=0xF8
2015-01-23 09:01:190   Output LSCData----->141=0x30
2015-01-23 09:01:191   Output LSCData----->142=0x38
2015-01-23 09:01:191   Output LSCData----->143=0x33
2015-01-23 09:01:192   Output LSCData----->144=0x23
2015-01-23 09:01:192   Output LSCData----->145=0x36
2015-01-23 09:01:193   Output LSCData----->146=0x6D
2015-01-23 09:01:193   Output LSCData----->147=0x31
2015-01-23 09:01:193   Output LSCData----->148=0x0A
2015-01-23 09:01:194   Output LSCData----->149=0x33
2015-01-23 09:01:194   Output LSCData----->150=0xAC
2015-01-23 09:01:195   Output LSCData----->151=0x36
2015-01-23 09:01:195   Output LSCData----->152=0x12
2015-01-23 09:01:195   Output LSCData----->153=0x3A
2015-01-23 09:01:196   Output LSCData----->154=0x5C
2015-01-23 09:01:196   Output LSCData----->155=0x34
2015-01-23 09:01:197   Output LSCData----->156=0xCA
2015-01-23 09:01:197   Output LSCData----->157=0x36
2015-01-23 09:01:198   Output LSCData----->158=0x1E
2015-01-23 09:01:198   Output LSCData----->159=0x3B
2015-01-23 09:01:199   Output LSCData----->160=0x5A
2015-01-23 09:01:199   Output LSCData----->161=0x3F
2015-01-23 09:01:199   Output LSCData----->162=0x27
2015-01-23 09:01:200   Output LSCData----->163=0x39
2015-01-23 09:01:200   Output LSCData----->164=0x40
2015-01-23 09:01:201   Output LSCData----->165=0x3B
2015-01-23 09:01:201   Output LSCData----->166=0xE4
2015-01-23 09:01:201   Output LSCData----->167=0x3F
2015-01-23 09:01:202   Output LSCData----->168=0x00
2015-01-23 09:01:202   Output LSCData----->169=0x45
2015-01-23 09:01:202   Output LSCData----->170=0xD7
2015-01-23 09:01:203   Output LSCData----->171=0x3D
2015-01-23 09:01:203   Output LSCData----->172=0x44
2015-01-23 09:01:204   Output LSCData----->173=0x40
2015-01-23 09:01:204   Output LSCData----->174=0xBF
2015-01-23 09:01:204   Output LSCData----->175=0x44
2015-01-23 09:01:205   Output LSCData----->176=0xE8
2015-01-23 09:01:205   Output LSCData----->177=0x4A
2015-01-23 09:01:206   Output LSCData----->178=0xCB
2015-01-23 09:01:206   Output LSCData----->179=0x42
2015-01-23 09:01:206   Output LSCData----->180=0x4E
2015-01-23 09:01:207   Output LSCData----->181=0x45
2015-01-23 09:01:207   Output LSCData----->182=0x14
2015-01-23 09:01:208   Output LSCData----->183=0x48
2015-01-23 09:01:208   Output LSCData----->184=0x3E
2015-01-23 09:01:208   Output LSCData----->185=0x4F
2015-01-23 09:01:209   Output LSCData----->186=0x94
2015-01-23 09:01:209   Output LSCData----->187=0x46
2015-01-23 09:01:210   Output LSCData----->188=0xCA
2015-01-23 09:01:210   Output LSCData----->189=0x48
2015-01-23 09:01:210   Output LSCData----->190=0x75
2015-01-23 09:01:211   Output LSCData----->191=0x45
2015-01-23 09:01:211   Output LSCData----->192=0xC2
2015-01-23 09:01:212   Output LSCData----->193=0x4B
2015-01-23 09:01:212   Output LSCData----->194=0xB8
2015-01-23 09:01:212   Output LSCData----->195=0x44
2015-01-23 09:01:213   Output LSCData----->196=0x43
2015-01-23 09:01:213   Output LSCData----->197=0x45
2015-01-23 09:01:214   Output LSCData----->198=0x5C
2015-01-23 09:01:214   Output LSCData----->199=0x42
2015-01-23 09:01:214   Output LSCData----->200=0xA3
2015-01-23 09:01:215   Output LSCData----->201=0x48
2015-01-23 09:01:215   Output LSCData----->202=0x32
2015-01-23 09:01:216   Output LSCData----->203=0x41
2015-01-23 09:01:216   Output LSCData----->204=0x39
2015-01-23 09:01:216   Output LSCData----->205=0x42
2015-01-23 09:01:217   Output LSCData----->206=0x22
2015-01-23 09:01:217   Output LSCData----->207=0x3D
2015-01-23 09:01:218   Output LSCData----->208=0x26
2015-01-23 09:01:218   Output LSCData----->209=0x42
2015-01-23 09:01:218   Output LSCData----->210=0x33
2015-01-23 09:01:219   Output LSCData----->211=0x3B
2015-01-23 09:01:219   Output LSCData----->212=0xBD
2015-01-23 09:01:220   Output LSCData----->213=0x3C
2015-01-23 09:01:220   Output LSCData----->214=0xA0
2015-01-23 09:01:220   Output LSCData----->215=0x37
2015-01-23 09:01:221   Output LSCData----->216=0x82
2015-01-23 09:01:221   Output LSCData----->217=0x3B
2015-01-23 09:01:221   Output LSCData----->218=0x3F
2015-01-23 09:01:222   Output LSCData----->219=0x35
2015-01-23 09:01:222   Output LSCData----->220=0x6A
2015-01-23 09:01:223   Output LSCData----->221=0x37
2015-01-23 09:01:223   Output LSCData----->222=0x01
2015-01-23 09:01:223   Output LSCData----->223=0x33
2015-01-23 09:01:224   Output LSCData----->224=0xD6
2015-01-23 09:01:224   Output LSCData----->225=0x35
2015-01-23 09:01:225   Output LSCData----->226=0xD5
2015-01-23 09:01:225   Output LSCData----->227=0x30
2015-01-23 09:01:225   Output LSCData----->228=0xCF
2015-01-23 09:01:226   Output LSCData----->229=0x32
2015-01-23 09:01:226   Output LSCData----->230=0xA6
2015-01-23 09:01:227   Output LSCData----->231=0x2F
2015-01-23 09:01:227   Output LSCData----->232=0xD5
2015-01-23 09:01:227   Output LSCData----->233=0x31
2015-01-23 09:01:228   Output LSCData----->234=0xA3
2015-01-23 09:01:228   Output LSCData----->235=0x2D
2015-01-23 09:01:229   Output LSCData----->236=0x5D
2015-01-23 09:01:229   Output LSCData----->237=0x2F
2015-01-23 09:01:229   Output LSCData----->238=0x9F
2015-01-23 09:01:230   Output LSCData----->239=0x2D
2015-01-23 09:01:230   Output LSCData----->240=0x34
2015-01-23 09:01:231   Output LSCData----->241=0x2F
2015-01-23 09:01:231   Output LSCData----->242=0xC3
2015-01-23 09:01:231   Output LSCData----->243=0x2B
2015-01-23 09:01:232   Output LSCData----->244=0x3C
2015-01-23 09:01:232   Output LSCData----->245=0x2D
2015-01-23 09:01:233   Output LSCData----->246=0xD6
2015-01-23 09:01:233   Output LSCData----->247=0x2C
2015-01-23 09:01:233   Output LSCData----->248=0xBF
2015-01-23 09:01:234   Output LSCData----->249=0x2E
2015-01-23 09:01:234   Output LSCData----->250=0x32
2015-01-23 09:01:234   Output LSCData----->251=0x2B
2015-01-23 09:01:235   Output LSCData----->252=0x90
2015-01-23 09:01:235   Output LSCData----->253=0x2C
2015-01-23 09:01:236   Output LSCData----->254=0x57
2015-01-23 09:01:236   Output LSCData----->255=0x2D
2015-01-23 09:01:236   Output LSCData----->256=0x43
2015-01-23 09:01:237   Output LSCData----->257=0x2F
2015-01-23 09:01:237   Output LSCData----->258=0xE0
2015-01-23 09:01:238   Output LSCData----->259=0x2B
2015-01-23 09:01:238   Output LSCData----->260=0x3F
2015-01-23 09:01:238   Output LSCData----->261=0x2D
2015-01-23 09:01:239   Output LSCData----->262=0x7F
2015-01-23 09:01:239   Output LSCData----->263=0x2F
2015-01-23 09:01:240   Output LSCData----->264=0xBD
2015-01-23 09:01:240   Output LSCData----->265=0x31
2015-01-23 09:01:240   Output LSCData----->266=0xA7
2015-01-23 09:01:241   Output LSCData----->267=0x2D
2015-01-23 09:01:241   Output LSCData----->268=0x5C
2015-01-23 09:01:242   Output LSCData----->269=0x2F
2015-01-23 09:01:242   Output LSCData----->270=0xAF
2015-01-23 09:01:242   Output LSCData----->271=0x32
2015-01-23 09:01:243   Output LSCData----->272=0x5D
2015-01-23 09:01:243   Output LSCData----->273=0x35
2015-01-23 09:01:244   Output LSCData----->274=0xB2
2015-01-23 09:01:244   Output LSCData----->275=0x30
2015-01-23 09:01:244   Output LSCData----->276=0xAE
2015-01-23 09:01:245   Output LSCData----->277=0x32
2015-01-23 09:01:245   Output LSCData----->278=0x12
2015-01-23 09:01:246   Output LSCData----->279=0x37
2015-01-23 09:01:246   Output LSCData----->280=0x1E
2015-01-23 09:01:246   Output LSCData----->281=0x3B
2015-01-23 09:01:247   Output LSCData----->282=0xFF
2015-01-23 09:01:247   Output LSCData----->283=0x34
2015-01-23 09:01:247   Output LSCData----->284=0x52
2015-01-23 09:01:248   Output LSCData----->285=0x37
2015-01-23 09:01:248   Output LSCData----->286=0xD7
2015-01-23 09:01:249   Output LSCData----->287=0x3C
2015-01-23 09:01:249   Output LSCData----->288=0xA3
2015-01-23 09:01:249   Output LSCData----->289=0x41
2015-01-23 09:01:250   Output LSCData----->290=0x4C
2015-01-23 09:01:250   Output LSCData----->291=0x3A
2015-01-23 09:01:251   Output LSCData----->292=0x41
2015-01-23 09:01:251   Output LSCData----->293=0x3D
2015-01-23 09:01:251   Output LSCData----->294=0x8D
2015-01-23 09:01:252   Output LSCData----->295=0x42
2015-01-23 09:01:252   Output LSCData----->296=0x5A
2015-01-23 09:01:253   Output LSCData----->297=0x48
2015-01-23 09:01:253   Output LSCData----->298=0x82
2015-01-23 09:01:253   Output LSCData----->299=0x3F
2015-01-23 09:01:254   Output LSCData----->300=0xE8
2015-01-23 09:01:254   Output LSCData----->301=0x42
2015-01-23 09:01:255   Output LSCData----->302=0x76
2015-01-23 09:01:255   Output LSCData----->303=0x45
2015-01-23 09:01:255   Output LSCData----->304=0x15
2015-01-23 09:01:256   Output LSCData----->305=0x4C
2015-01-23 09:01:256   Output LSCData----->306=0xB8
2015-01-23 09:01:257   Output LSCData----->307=0x42
2015-01-23 09:01:257   Output LSCData----->308=0xDC
2015-01-23 09:01:257   Output LSCData----->309=0x45
2015-01-23 09:01:258   Output LSCData----->310=0xA7
2015-01-23 09:01:258   Output LSCData----->311=0x43
