2014-11-18 09:01:647   Output LSCData----->0=0xFF
2014-11-18 09:01:648   Output LSCData----->1=0x00
2014-11-18 09:01:648   Output LSCData----->2=0x02
2014-11-18 09:01:648   Output LSCData----->3=0x01
2014-11-18 09:01:648   Output LSCData----->4=0x00
2014-11-18 09:01:649   Output LSCData----->5=0x00
2014-11-18 09:01:649   Output LSCData----->6=0x00
2014-11-18 09:01:649   Output LSCData----->7=0x00
2014-11-18 09:01:650   Output LSCData----->8=0x0C
2014-11-18 09:01:650   Output LSCData----->9=0x00
2014-11-18 09:01:650   Output LSCData----->10=0x0C
2014-11-18 09:01:650   Output LSCData----->11=0x00
2014-11-18 09:01:651   Output LSCData----->12=0x38
2014-11-18 09:01:651   Output LSCData----->13=0x08
2014-11-18 09:01:651   Output LSCData----->14=0x18
2014-11-18 09:01:652   Output LSCData----->15=0x06
2014-11-18 09:01:652   Output LSCData----->16=0x0A
2014-11-18 09:01:652   Output LSCData----->17=0x00
2014-11-18 09:01:652   Output LSCData----->18=0x0A
2014-11-18 09:01:653   Output LSCData----->19=0x00
2014-11-18 09:01:653   Output LSCData----->20=0x00
2014-11-18 09:01:653   Output LSCData----->21=0x00
2014-11-18 09:01:653   Output LSCData----->22=0x00
2014-11-18 09:01:654   Output LSCData----->23=0x00
2014-11-18 09:01:654   Output LSCData----->24=0xE0
2014-11-18 09:01:654   Output LSCData----->25=0x00
2014-11-18 09:01:654   Output LSCData----->26=0x00
2014-11-18 09:01:655   Output LSCData----->27=0x00
2014-11-18 09:01:655   Output LSCData----->28=0x00
2014-11-18 09:01:655   Output LSCData----->29=0x00
2014-11-18 09:01:655   Output LSCData----->30=0x00
2014-11-18 09:01:656   Output LSCData----->31=0x30
2014-11-18 09:01:656   Output LSCData----->32=0x00
2014-11-18 09:01:656   Output LSCData----->33=0xE0
2014-11-18 09:01:656   Output LSCData----->34=0x00
2014-11-18 09:01:657   Output LSCData----->35=0xE0
2014-11-18 09:01:657   Output LSCData----->36=0x00
2014-11-18 09:01:657   Output LSCData----->37=0x00
2014-11-18 09:01:658   Output LSCData----->38=0x00
2014-11-18 09:01:658   Output LSCData----->39=0x40
2014-11-18 09:01:658   Output LSCData----->40=0x00
2014-11-18 09:01:658   Output LSCData----->41=0x00
2014-11-18 09:01:659   Output LSCData----->42=0x00
2014-11-18 09:01:659   Output LSCData----->43=0x00
2014-11-18 09:01:659   Output LSCData----->44=0x20
2014-11-18 09:01:659   Output LSCData----->45=0x20
2014-11-18 09:01:660   Output LSCData----->46=0x20
2014-11-18 09:01:660   Output LSCData----->47=0x20
2014-11-18 09:01:660   Output LSCData----->48=0x00
2014-11-18 09:01:660   Output LSCData----->49=0x00
2014-11-18 09:01:661   Output LSCData----->50=0x00
2014-11-18 09:01:661   Output LSCData----->51=0x30
2014-11-18 09:01:661   Output LSCData----->52=0x6F
2014-11-18 09:01:661   Output LSCData----->53=0x60
2014-11-18 09:01:662   Output LSCData----->54=0x50
2014-11-18 09:01:662   Output LSCData----->55=0xC0
2014-11-18 09:01:662   Output LSCData----->56=0x00
2014-11-18 09:01:662   Output LSCData----->57=0x00
2014-11-18 09:01:663   Output LSCData----->58=0x00
2014-11-18 09:01:663   Output LSCData----->59=0x40
2014-11-18 09:01:663   Output LSCData----->60=0x72
2014-11-18 09:01:663   Output LSCData----->61=0x00
2014-11-18 09:01:664   Output LSCData----->62=0x5C
2014-11-18 09:01:664   Output LSCData----->63=0x00
2014-11-18 09:01:664   Output LSCData----->64=0x20
2014-11-18 09:01:664   Output LSCData----->65=0x20
2014-11-18 09:01:665   Output LSCData----->66=0x20
2014-11-18 09:01:665   Output LSCData----->67=0x20
2014-11-18 09:01:665   Output LSCData----->68=0xB1
2014-11-18 09:01:665   Output LSCData----->69=0x5D
2014-11-18 09:01:666   Output LSCData----->70=0x2D
2014-11-18 09:01:666   Output LSCData----->71=0x4F
2014-11-18 09:01:666   Output LSCData----->72=0x43
2014-11-18 09:01:666   Output LSCData----->73=0x4F
2014-11-18 09:01:667   Output LSCData----->74=0xFB
2014-11-18 09:01:667   Output LSCData----->75=0x4C
2014-11-18 09:01:667   Output LSCData----->76=0x02
2014-11-18 09:01:667   Output LSCData----->77=0x5B
2014-11-18 09:01:668   Output LSCData----->78=0xD6
2014-11-18 09:01:668   Output LSCData----->79=0x4E
2014-11-18 09:01:668   Output LSCData----->80=0x5F
2014-11-18 09:01:669   Output LSCData----->81=0x4E
2014-11-18 09:01:669   Output LSCData----->82=0xF1
2014-11-18 09:01:669   Output LSCData----->83=0x4B
2014-11-18 09:01:669   Output LSCData----->84=0x8F
2014-11-18 09:01:670   Output LSCData----->85=0x53
2014-11-18 09:01:670   Output LSCData----->86=0x93
2014-11-18 09:01:670   Output LSCData----->87=0x48
2014-11-18 09:01:670   Output LSCData----->88=0xAF
2014-11-18 09:01:671   Output LSCData----->89=0x47
2014-11-18 09:01:671   Output LSCData----->90=0x49
2014-11-18 09:01:671   Output LSCData----->91=0x45
2014-11-18 09:01:671   Output LSCData----->92=0x00
2014-11-18 09:01:672   Output LSCData----->93=0x4B
2014-11-18 09:01:672   Output LSCData----->94=0xEA
2014-11-18 09:01:672   Output LSCData----->95=0x41
2014-11-18 09:01:672   Output LSCData----->96=0xCC
2014-11-18 09:01:673   Output LSCData----->97=0x40
2014-11-18 09:01:673   Output LSCData----->98=0x8D
2014-11-18 09:01:673   Output LSCData----->99=0x3E
2014-11-18 09:01:674   Output LSCData----->100=0xBA
2014-11-18 09:01:674   Output LSCData----->101=0x45
2014-11-18 09:01:674   Output LSCData----->102=0x37
2014-11-18 09:01:674   Output LSCData----->103=0x3E
2014-11-18 09:01:675   Output LSCData----->104=0xC6
2014-11-18 09:01:675   Output LSCData----->105=0x3C
2014-11-18 09:01:675   Output LSCData----->106=0xEF
2014-11-18 09:01:675   Output LSCData----->107=0x3A
2014-11-18 09:01:676   Output LSCData----->108=0xC1
2014-11-18 09:01:676   Output LSCData----->109=0x41
2014-11-18 09:01:676   Output LSCData----->110=0x63
2014-11-18 09:01:676   Output LSCData----->111=0x3B
2014-11-18 09:01:677   Output LSCData----->112=0x9A
2014-11-18 09:01:677   Output LSCData----->113=0x39
2014-11-18 09:01:677   Output LSCData----->114=0x0E
2014-11-18 09:01:677   Output LSCData----->115=0x38
2014-11-18 09:01:678   Output LSCData----->116=0x21
2014-11-18 09:01:678   Output LSCData----->117=0x40
2014-11-18 09:01:678   Output LSCData----->118=0x4E
2014-11-18 09:01:678   Output LSCData----->119=0x3A
2014-11-18 09:01:679   Output LSCData----->120=0x45
2014-11-18 09:01:679   Output LSCData----->121=0x38
2014-11-18 09:01:679   Output LSCData----->122=0xDA
2014-11-18 09:01:679   Output LSCData----->123=0x36
2014-11-18 09:01:680   Output LSCData----->124=0x29
2014-11-18 09:01:680   Output LSCData----->125=0x40
2014-11-18 09:01:680   Output LSCData----->126=0xFE
2014-11-18 09:01:680   Output LSCData----->127=0x3A
2014-11-18 09:01:681   Output LSCData----->128=0xA4
2014-11-18 09:01:681   Output LSCData----->129=0x38
2014-11-18 09:01:681   Output LSCData----->130=0x5D
2014-11-18 09:01:682   Output LSCData----->131=0x37
2014-11-18 09:01:682   Output LSCData----->132=0xBB
2014-11-18 09:01:682   Output LSCData----->133=0x42
2014-11-18 09:01:682   Output LSCData----->134=0x95
2014-11-18 09:01:682   Output LSCData----->135=0x3C
2014-11-18 09:01:683   Output LSCData----->136=0x64
2014-11-18 09:01:683   Output LSCData----->137=0x3A
2014-11-18 09:01:683   Output LSCData----->138=0xC3
2014-11-18 09:01:683   Output LSCData----->139=0x38
2014-11-18 09:01:684   Output LSCData----->140=0x76
2014-11-18 09:01:684   Output LSCData----->141=0x47
2014-11-18 09:01:684   Output LSCData----->142=0x40
2014-11-18 09:01:685   Output LSCData----->143=0x40
2014-11-18 09:01:685   Output LSCData----->144=0x55
2014-11-18 09:01:685   Output LSCData----->145=0x3E
2014-11-18 09:01:685   Output LSCData----->146=0xA2
2014-11-18 09:01:686   Output LSCData----->147=0x3C
2014-11-18 09:01:686   Output LSCData----->148=0x31
2014-11-18 09:01:686   Output LSCData----->149=0x4E
2014-11-18 09:01:686   Output LSCData----->150=0xCD
2014-11-18 09:01:687   Output LSCData----->151=0x45
2014-11-18 09:01:687   Output LSCData----->152=0xF2
2014-11-18 09:01:687   Output LSCData----->153=0x43
2014-11-18 09:01:687   Output LSCData----->154=0x31
