2014-12-18 19:23:726   Output LSCData----->0=0x00
2014-12-18 19:23:745   Output LSCData----->1=0x00
2014-12-18 19:23:745   Output LSCData----->2=0xFF
2014-12-18 19:23:746   Output LSCData----->3=0x00
2014-12-18 19:23:747   Output LSCData----->4=0x02
2014-12-18 19:23:747   Output LSCData----->5=0x01
2014-12-18 19:23:748   Output LSCData----->6=0x08
2014-12-18 19:23:749   Output LSCData----->7=0x05
2014-12-18 19:23:750   Output LSCData----->8=0xC4
2014-12-18 19:23:750   Output LSCData----->9=0x03
2014-12-18 19:23:751   Output LSCData----->10=0x0C
2014-12-18 19:23:752   Output LSCData----->11=0x00
2014-12-18 19:23:753   Output LSCData----->12=0x0C
2014-12-18 19:23:753   Output LSCData----->13=0x00
2014-12-18 19:23:754   Output LSCData----->14=0x30
2014-12-18 19:23:755   Output LSCData----->15=0x08
2014-12-18 19:23:755   Output LSCData----->16=0x10
2014-12-18 19:23:756   Output LSCData----->17=0x06
2014-12-18 19:23:757   Output LSCData----->18=0x0A
2014-12-18 19:23:757   Output LSCData----->19=0x00
2014-12-18 19:23:758   Output LSCData----->20=0x0A
2014-12-18 19:23:759   Output LSCData----->21=0x00
2014-12-18 19:23:759   Output LSCData----->22=0x00
2014-12-18 19:23:760   Output LSCData----->23=0x00
2014-12-18 19:23:761   Output LSCData----->24=0x00
2014-12-18 19:23:761   Output LSCData----->25=0x00
2014-12-18 19:23:762   Output LSCData----->26=0xC2
2014-12-18 19:23:763   Output LSCData----->27=0x01
2014-12-18 19:23:763   Output LSCData----->28=0x00
2014-12-18 19:23:764   Output LSCData----->29=0x00
2014-12-18 19:23:765   Output LSCData----->30=0x00
2014-12-18 19:23:766   Output LSCData----->31=0x00
2014-12-18 19:23:766   Output LSCData----->32=0x00
2014-12-18 19:23:767   Output LSCData----->33=0x30
2014-12-18 19:23:768   Output LSCData----->34=0x78
2014-12-18 19:23:768   Output LSCData----->35=0x30
2014-12-18 19:23:769   Output LSCData----->36=0x80
2014-12-18 19:23:770   Output LSCData----->37=0x40
2014-12-18 19:23:770   Output LSCData----->38=0x00
2014-12-18 19:23:771   Output LSCData----->39=0x00
2014-12-18 19:23:772   Output LSCData----->40=0x00
2014-12-18 19:23:772   Output LSCData----->41=0x40
2014-12-18 19:23:772   Output LSCData----->42=0x7A
2014-12-18 19:23:773   Output LSCData----->43=0x00
2014-12-18 19:23:773   Output LSCData----->44=0x84
2014-12-18 19:23:774   Output LSCData----->45=0x00
2014-12-18 19:23:774   Output LSCData----->46=0x20
2014-12-18 19:23:775   Output LSCData----->47=0x20
2014-12-18 19:23:775   Output LSCData----->48=0x20
2014-12-18 19:23:775   Output LSCData----->49=0x20
2014-12-18 19:23:776   Output LSCData----->50=0x00
2014-12-18 19:23:776   Output LSCData----->51=0x00
2014-12-18 19:23:776   Output LSCData----->52=0x00
2014-12-18 19:23:777   Output LSCData----->53=0x30
2014-12-18 19:23:777   Output LSCData----->54=0x37
2014-12-18 19:23:778   Output LSCData----->55=0xD0
2014-12-18 19:23:778   Output LSCData----->56=0x4A
2014-12-18 19:23:778   Output LSCData----->57=0xD0
2014-12-18 19:23:779   Output LSCData----->58=0x00
2014-12-18 19:23:779   Output LSCData----->59=0x00
2014-12-18 19:23:780   Output LSCData----->60=0x00
2014-12-18 19:23:780   Output LSCData----->61=0x40
2014-12-18 19:23:780   Output LSCData----->62=0x3D
2014-12-18 19:23:781   Output LSCData----->63=0x00
2014-12-18 19:23:781   Output LSCData----->64=0x56
2014-12-18 19:23:781   Output LSCData----->65=0x00
2014-12-18 19:23:782   Output LSCData----->66=0x20
2014-12-18 19:23:782   Output LSCData----->67=0x20
2014-12-18 19:23:783   Output LSCData----->68=0x20
2014-12-18 19:23:783   Output LSCData----->69=0x20
2014-12-18 19:23:783   Output LSCData----->70=0xAD
2014-12-18 19:23:784   Output LSCData----->71=0x33
2014-12-18 19:23:784   Output LSCData----->72=0x72
2014-12-18 19:23:785   Output LSCData----->73=0x36
2014-12-18 19:23:785   Output LSCData----->74=0x78
2014-12-18 19:23:785   Output LSCData----->75=0x31
2014-12-18 19:23:786   Output LSCData----->76=0xC1
2014-12-18 19:23:786   Output LSCData----->77=0x33
2014-12-18 19:23:787   Output LSCData----->78=0xE8
2014-12-18 19:23:787   Output LSCData----->79=0x35
2014-12-18 19:23:788   Output LSCData----->80=0x39
2014-12-18 19:23:788   Output LSCData----->81=0x38
2014-12-18 19:23:788   Output LSCData----->82=0x43
2014-12-18 19:23:789   Output LSCData----->83=0x33
2014-12-18 19:23:789   Output LSCData----->84=0x15
2014-12-18 19:23:790   Output LSCData----->85=0x36
2014-12-18 19:23:790   Output LSCData----->86=0xF8
2014-12-18 19:23:790   Output LSCData----->87=0x33
2014-12-18 19:23:791   Output LSCData----->88=0x1C
2014-12-18 19:23:791   Output LSCData----->89=0x36
2014-12-18 19:23:791   Output LSCData----->90=0x44
2014-12-18 19:23:792   Output LSCData----->91=0x31
2014-12-18 19:23:792   Output LSCData----->92=0x0D
2014-12-18 19:23:793   Output LSCData----->93=0x34
2014-12-18 19:23:793   Output LSCData----->94=0xC7
2014-12-18 19:23:793   Output LSCData----->95=0x31
2014-12-18 19:23:794   Output LSCData----->96=0x32
2014-12-18 19:23:794   Output LSCData----->97=0x33
2014-12-18 19:23:795   Output LSCData----->98=0xFA
2014-12-18 19:23:795   Output LSCData----->99=0x2E
2014-12-18 19:23:795   Output LSCData----->100=0x91
2014-12-18 19:23:796   Output LSCData----->101=0x31
2014-12-18 19:23:796   Output LSCData----->102=0x2A
2014-12-18 19:23:796   Output LSCData----->103=0x2F
2014-12-18 19:23:797   Output LSCData----->104=0x1F
2014-12-18 19:23:797   Output LSCData----->105=0x30
2014-12-18 19:23:798   Output LSCData----->106=0xA3
2014-12-18 19:23:798   Output LSCData----->107=0x2C
2014-12-18 19:23:798   Output LSCData----->108=0x58
2014-12-18 19:23:799   Output LSCData----->109=0x2F
2014-12-18 19:23:799   Output LSCData----->110=0x26
2014-12-18 19:23:800   Output LSCData----->111=0x2D
2014-12-18 19:23:800   Output LSCData----->112=0x01
2014-12-18 19:23:800   Output LSCData----->113=0x2E
2014-12-18 19:23:801   Output LSCData----->114=0xD9
2014-12-18 19:23:801   Output LSCData----->115=0x2A
2014-12-18 19:23:801   Output LSCData----->116=0x4F
2014-12-18 19:23:802   Output LSCData----->117=0x2D
2014-12-18 19:23:803   Output LSCData----->118=0x6F
2014-12-18 19:23:803   Output LSCData----->119=0x2C
2014-12-18 19:23:803   Output LSCData----->120=0x08
2014-12-18 19:23:804   Output LSCData----->121=0x2D
2014-12-18 19:23:804   Output LSCData----->122=0x2F
2014-12-18 19:23:804   Output LSCData----->123=0x2A
2014-12-18 19:23:805   Output LSCData----->124=0x4A
2014-12-18 19:23:805   Output LSCData----->125=0x2C
2014-12-18 19:23:806   Output LSCData----->126=0xF7
2014-12-18 19:23:806   Output LSCData----->127=0x2B
2014-12-18 19:23:806   Output LSCData----->128=0xEA
2014-12-18 19:23:807   Output LSCData----->129=0x2C
2014-12-18 19:23:807   Output LSCData----->130=0xD8
2014-12-18 19:23:808   Output LSCData----->131=0x29
2014-12-18 19:23:808   Output LSCData----->132=0xE4
2014-12-18 19:23:808   Output LSCData----->133=0x2B
2014-12-18 19:23:809   Output LSCData----->134=0x97
2014-12-18 19:23:809   Output LSCData----->135=0x2C
2014-12-18 19:23:809   Output LSCData----->136=0x49
2014-12-18 19:23:810   Output LSCData----->137=0x2D
2014-12-18 19:23:810   Output LSCData----->138=0x87
2014-12-18 19:23:811   Output LSCData----->139=0x2A
2014-12-18 19:23:811   Output LSCData----->140=0xD2
2014-12-18 19:23:811   Output LSCData----->141=0x2C
2014-12-18 19:23:812   Output LSCData----->142=0x3A
2014-12-18 19:23:812   Output LSCData----->143=0x2E
2014-12-18 19:23:813   Output LSCData----->144=0x68
2014-12-18 19:23:813   Output LSCData----->145=0x2F
2014-12-18 19:23:813   Output LSCData----->146=0xE3
2014-12-18 19:23:814   Output LSCData----->147=0x2B
2014-12-18 19:23:814   Output LSCData----->148=0x65
2014-12-18 19:23:815   Output LSCData----->149=0x2E
2014-12-18 19:23:815   Output LSCData----->150=0x84
2014-12-18 19:23:815   Output LSCData----->151=0x30
2014-12-18 19:23:816   Output LSCData----->152=0xE0
2014-12-18 19:23:816   Output LSCData----->153=0x31
2014-12-18 19:23:816   Output LSCData----->154=0x5D
2014-12-18 19:23:817   Output LSCData----->155=0x2E
2014-12-18 19:23:817   Output LSCData----->156=0xB1
2014-12-18 19:23:818   Output LSCData----->157=0x30
2014-12-18 19:23:818   Output LSCData----->158=0x39
2014-12-18 19:23:819   Output LSCData----->159=0x33
2014-12-18 19:23:819   Output LSCData----->160=0x32
2014-12-18 19:23:819   Output LSCData----->161=0x35
2014-12-18 19:23:820   Output LSCData----->162=0x9B
2014-12-18 19:23:820   Output LSCData----->163=0x30
2014-12-18 19:23:821   Output LSCData----->164=0x9D
2014-12-18 19:23:821   Output LSCData----->165=0x33
2014-12-18 19:23:821   Output LSCData----->166=0x42
2014-12-18 19:23:822   Output LSCData----->167=0x36
2014-12-18 19:23:822   Output LSCData----->168=0x76
2014-12-18 19:23:822   Output LSCData----->169=0x38
2014-12-18 19:23:823   Output LSCData----->170=0x87
2014-12-18 19:23:823   Output LSCData----->171=0x33
2014-12-18 19:23:824   Output LSCData----->172=0xAB
2014-12-18 19:23:824   Output LSCData----->173=0x36
2014-12-18 19:23:824   Output LSCData----->174=0x9C
2014-12-18 19:23:825   Output LSCData----->175=0x38
2014-12-18 19:23:825   Output LSCData----->176=0x63
2014-12-18 19:23:826   Output LSCData----->177=0x3B
2014-12-18 19:23:826   Output LSCData----->178=0x2F
2014-12-18 19:23:826   Output LSCData----->179=0x36
2014-12-18 19:23:827   Output LSCData----->180=0x15
2014-12-18 19:23:827   Output LSCData----->181=0x39
2014-12-18 19:23:828   Output LSCData----->182=0xD7
2014-12-18 19:23:828   Output LSCData----->183=0x38
2014-12-18 19:23:828   Output LSCData----->184=0x80
2014-12-18 19:23:829   Output LSCData----->185=0x3B
2014-12-18 19:23:829   Output LSCData----->186=0x7F
2014-12-18 19:23:829   Output LSCData----->187=0x36
2014-12-18 19:23:830   Output LSCData----->188=0x24
2014-12-18 19:23:830   Output LSCData----->189=0x39
2014-12-18 19:23:831   Output LSCData----->190=0xCF
2014-12-18 19:23:831   Output LSCData----->191=0x35
2014-12-18 19:23:831   Output LSCData----->192=0x69
2014-12-18 19:23:832   Output LSCData----->193=0x38
2014-12-18 19:23:832   Output LSCData----->194=0x4F
2014-12-18 19:23:833   Output LSCData----->195=0x33
2014-12-18 19:23:833   Output LSCData----->196=0xD8
2014-12-18 19:23:833   Output LSCData----->197=0x35
2014-12-18 19:23:834   Output LSCData----->198=0x38
2014-12-18 19:23:834   Output LSCData----->199=0x36
2014-12-18 19:23:834   Output LSCData----->200=0x65
2014-12-18 19:23:835   Output LSCData----->201=0x38
2014-12-18 19:23:835   Output LSCData----->202=0x59
2014-12-18 19:23:836   Output LSCData----->203=0x33
2014-12-18 19:23:836   Output LSCData----->204=0x71
2014-12-18 19:23:836   Output LSCData----->205=0x36
2014-12-18 19:23:837   Output LSCData----->206=0x60
2014-12-18 19:23:837   Output LSCData----->207=0x33
2014-12-18 19:23:838   Output LSCData----->208=0xE8
2014-12-18 19:23:838   Output LSCData----->209=0x34
2014-12-18 19:23:839   Output LSCData----->210=0x8C
2014-12-18 19:23:839   Output LSCData----->211=0x30
2014-12-18 19:23:839   Output LSCData----->212=0x96
2014-12-18 19:23:840   Output LSCData----->213=0x33
2014-12-18 19:23:840   Output LSCData----->214=0x65
2014-12-18 19:23:841   Output LSCData----->215=0x30
2014-12-18 19:23:841   Output LSCData----->216=0x37
2014-12-18 19:23:841   Output LSCData----->217=0x31
2014-12-18 19:23:842   Output LSCData----->218=0x86
2014-12-18 19:23:842   Output LSCData----->219=0x2D
2014-12-18 19:23:843   Output LSCData----->220=0x5A
2014-12-18 19:23:843   Output LSCData----->221=0x30
2014-12-18 19:23:843   Output LSCData----->222=0xA1
2014-12-18 19:23:844   Output LSCData----->223=0x2D
2014-12-18 19:23:844   Output LSCData----->224=0x11
2014-12-18 19:23:845   Output LSCData----->225=0x2E
2014-12-18 19:23:845   Output LSCData----->226=0x07
2014-12-18 19:23:845   Output LSCData----->227=0x2B
2014-12-18 19:23:846   Output LSCData----->228=0xB1
2014-12-18 19:23:846   Output LSCData----->229=0x2D
2014-12-18 19:23:846   Output LSCData----->230=0x8D
2014-12-18 19:23:847   Output LSCData----->231=0x2B
2014-12-18 19:23:847   Output LSCData----->232=0xB8
2014-12-18 19:23:848   Output LSCData----->233=0x2B
2014-12-18 19:23:848   Output LSCData----->234=0x24
