2016-08-12 21:21:621   Output LSCData----->0=0xFF
2016-08-12 21:21:622   Output LSCData----->1=0x00
2016-08-12 21:21:623   Output LSCData----->2=0x02
2016-08-12 21:21:722   Output LSCData----->3=0x01
2016-08-12 21:21:724   Output LSCData----->4=0x08
2016-08-12 21:21:727   Output LSCData----->5=0x05
2016-08-12 21:21:729   Output LSCData----->6=0xC4
2016-08-12 21:21:731   Output LSCData----->7=0x03
2016-08-12 21:21:733   Output LSCData----->8=0x0C
2016-08-12 21:21:734   Output LSCData----->9=0x00
2016-08-12 21:21:736   Output LSCData----->10=0x0C
2016-08-12 21:21:737   Output LSCData----->11=0x00
2016-08-12 21:21:740   Output LSCData----->12=0x8C
2016-08-12 21:21:742   Output LSCData----->13=0x04
2016-08-12 21:21:744   Output LSCData----->14=0x6A
2016-08-12 21:21:745   Output LSCData----->15=0x03
2016-08-12 21:21:747   Output LSCData----->16=0x0A
2016-08-12 21:21:749   Output LSCData----->17=0x00
2016-08-12 21:21:751   Output LSCData----->18=0x0A
2016-08-12 21:21:752   Output LSCData----->19=0x00
2016-08-12 21:21:754   Output LSCData----->20=0x00
2016-08-12 21:21:756   Output LSCData----->21=0x00
2016-08-12 21:21:758   Output LSCData----->22=0x00
2016-08-12 21:21:759   Output LSCData----->23=0x00
2016-08-12 21:21:760   Output LSCData----->24=0xC2
2016-08-12 21:21:761   Output LSCData----->25=0x01
2016-08-12 21:21:762   Output LSCData----->26=0x00
2016-08-12 21:21:763   Output LSCData----->27=0x00
2016-08-12 21:21:764   Output LSCData----->28=0x00
2016-08-12 21:21:764   Output LSCData----->29=0x00
2016-08-12 21:21:765   Output LSCData----->30=0x00
2016-08-12 21:21:765   Output LSCData----->31=0x30
2016-08-12 21:21:766   Output LSCData----->32=0x78
2016-08-12 21:21:767   Output LSCData----->33=0x30
2016-08-12 21:21:768   Output LSCData----->34=0x80
2016-08-12 21:21:769   Output LSCData----->35=0x40
2016-08-12 21:21:769   Output LSCData----->36=0x00
2016-08-12 21:21:770   Output LSCData----->37=0x00
2016-08-12 21:21:771   Output LSCData----->38=0x00
2016-08-12 21:21:772   Output LSCData----->39=0x40
