2016-08-13 00:01:855   Output LSCData----->0=0xFF
2016-08-13 00:01:857   Output LSCData----->1=0x00
2016-08-13 00:01:858   Output LSCData----->2=0x02
2016-08-13 00:01:859   Output LSCData----->3=0x01
2016-08-13 00:01:860   Output LSCData----->4=0x08
2016-08-13 00:01:861   Output LSCData----->5=0x05
2016-08-13 00:01:861   Output LSCData----->6=0xC4
2016-08-13 00:01:862   Output LSCData----->7=0x03
2016-08-13 00:01:863   Output LSCData----->8=0x0C
2016-08-13 00:01:864   Output LSCData----->9=0x00
2016-08-13 00:01:865   Output LSCData----->10=0x0C
2016-08-13 00:01:866   Output LSCData----->11=0x00
2016-08-13 00:01:867   Output LSCData----->12=0x8C
2016-08-13 00:01:867   Output LSCData----->13=0x04
2016-08-13 00:01:868   Output LSCData----->14=0x6A
2016-08-13 00:01:869   Output LSCData----->15=0x03
2016-08-13 00:01:870   Output LSCData----->16=0x0A
2016-08-13 00:01:870   Output LSCData----->17=0x00
2016-08-13 00:01:871   Output LSCData----->18=0x0A
2016-08-13 00:01:872   Output LSCData----->19=0x00
2016-08-13 00:01:872   Output LSCData----->20=0x00
2016-08-13 00:01:873   Output LSCData----->21=0x00
2016-08-13 00:01:873   Output LSCData----->22=0x00
2016-08-13 00:01:874   Output LSCData----->23=0x00
2016-08-13 00:01:875   Output LSCData----->24=0xC2
2016-08-13 00:01:875   Output LSCData----->25=0x01
2016-08-13 00:01:876   Output LSCData----->26=0x00
2016-08-13 00:01:877   Output LSCData----->27=0x00
2016-08-13 00:01:878   Output LSCData----->28=0x00
2016-08-13 00:01:878   Output LSCData----->29=0x00
2016-08-13 00:01:879   Output LSCData----->30=0x00
2016-08-13 00:01:880   Output LSCData----->31=0x30
2016-08-13 00:01:880   Output LSCData----->32=0x78
2016-08-13 00:01:881   Output LSCData----->33=0x30
2016-08-13 00:01:882   Output LSCData----->34=0x80
2016-08-13 00:01:882   Output LSCData----->35=0x40
2016-08-13 00:01:883   Output LSCData----->36=0x00
2016-08-13 00:01:884   Output LSCData----->37=0x00
2016-08-13 00:01:884   Output LSCData----->38=0x00
2016-08-13 00:01:885   Output LSCData----->39=0x40
2016-08-13 00:01:886   Output LSCData----->40=0x7A
2016-08-13 00:01:886   Output LSCData----->41=0x00
2016-08-13 00:01:887   Output LSCData----->42=0x84
2016-08-13 00:01:888   Output LSCData----->43=0x00
2016-08-13 00:01:888   Output LSCData----->44=0x20
2016-08-13 00:01:889   Output LSCData----->45=0x20
2016-08-13 00:01:890   Output LSCData----->46=0x20
2016-08-13 00:01:890   Output LSCData----->47=0x20
2016-08-13 00:01:891   Output LSCData----->48=0x00
2016-08-13 00:01:892   Output LSCData----->49=0x00
2016-08-13 00:01:892   Output LSCData----->50=0x00
2016-08-13 00:01:893   Output LSCData----->51=0x30
2016-08-13 00:01:894   Output LSCData----->52=0x1F
2016-08-13 00:01:894   Output LSCData----->53=0xD0
2016-08-13 00:01:895   Output LSCData----->54=0x29
2016-08-13 00:01:896   Output LSCData----->55=0xD0
2016-08-13 00:01:897   Output LSCData----->56=0x00
2016-08-13 00:01:897   Output LSCData----->57=0x00
2016-08-13 00:01:898   Output LSCData----->58=0x00
2016-08-13 00:01:898   Output LSCData----->59=0x40
2016-08-13 00:01:899   Output LSCData----->60=0x22
2016-08-13 00:01:899   Output LSCData----->61=0x00
2016-08-13 00:01:899   Output LSCData----->62=0x31
2016-08-13 00:01:900   Output LSCData----->63=0x00
2016-08-13 00:01:900   Output LSCData----->64=0x20
2016-08-13 00:01:901   Output LSCData----->65=0x20
2016-08-13 00:01:901   Output LSCData----->66=0x20
2016-08-13 00:01:901   Output LSCData----->67=0x20
2016-08-13 00:01:902   Output LSCData----->68=0x16
2016-08-13 00:01:902   Output LSCData----->69=0x4A
2016-08-13 00:01:902   Output LSCData----->70=0xD7
2016-08-13 00:01:903   Output LSCData----->71=0x3F
2016-08-13 00:01:903   Output LSCData----->72=0x24
2016-08-13 00:01:903   Output LSCData----->73=0x40
2016-08-13 00:01:904   Output LSCData----->74=0xAD
2016-08-13 00:01:904   Output LSCData----->75=0x40
2016-08-13 00:01:904   Output LSCData----->76=0xE1
2016-08-13 00:01:905   Output LSCData----->77=0x55
2016-08-13 00:01:905   Output LSCData----->78=0x32
2016-08-13 00:01:905   Output LSCData----->79=0x4A
2016-08-13 00:01:905   Output LSCData----->80=0xA1
2016-08-13 00:01:906   Output LSCData----->81=0x4A
2016-08-13 00:01:906   Output LSCData----->82=0xAE
2016-08-13 00:01:906   Output LSCData----->83=0x4A
2016-08-13 00:01:907   Output LSCData----->84=0xD4
2016-08-13 00:01:907   Output LSCData----->85=0x4F
2016-08-13 00:01:907   Output LSCData----->86=0x2B
2016-08-13 00:01:907   Output LSCData----->87=0x46
2016-08-13 00:01:908   Output LSCData----->88=0x50
2016-08-13 00:01:908   Output LSCData----->89=0x46
2016-08-13 00:01:908   Output LSCData----->90=0xDF
2016-08-13 00:01:909   Output LSCData----->91=0x45
2016-08-13 00:01:909   Output LSCData----->92=0xDD
2016-08-13 00:01:909   Output LSCData----->93=0x48
2016-08-13 00:01:909   Output LSCData----->94=0x13
2016-08-13 00:01:910   Output LSCData----->95=0x40
2016-08-13 00:01:910   Output LSCData----->96=0x70
2016-08-13 00:01:910   Output LSCData----->97=0x40
2016-08-13 00:01:910   Output LSCData----->98=0xDC
2016-08-13 00:01:911   Output LSCData----->99=0x3F
2016-08-13 00:01:911   Output LSCData----->100=0xD2
2016-08-13 00:01:911   Output LSCData----->101=0x43
2016-08-13 00:01:912   Output LSCData----->102=0xDE
2016-08-13 00:01:912   Output LSCData----->103=0x3B
2016-08-13 00:01:912   Output LSCData----->104=0x01
2016-08-13 00:01:912   Output LSCData----->105=0x3C
2016-08-13 00:01:913   Output LSCData----->106=0x88
2016-08-13 00:01:913   Output LSCData----->107=0x3B
2016-08-13 00:01:913   Output LSCData----->108=0x0E
2016-08-13 00:01:913   Output LSCData----->109=0x3F
2016-08-13 00:01:914   Output LSCData----->110=0x97
2016-08-13 00:01:914   Output LSCData----->111=0x38
2016-08-13 00:01:914   Output LSCData----->112=0x7F
2016-08-13 00:01:915   Output LSCData----->113=0x38
2016-08-13 00:01:915   Output LSCData----->114=0x26
2016-08-13 00:01:915   Output LSCData----->115=0x38
2016-08-13 00:01:915   Output LSCData----->116=0x60
2016-08-13 00:01:916   Output LSCData----->117=0x3C
2016-08-13 00:01:916   Output LSCData----->118=0xB5
2016-08-13 00:01:916   Output LSCData----->119=0x36
2016-08-13 00:01:916   Output LSCData----->120=0x8D
2016-08-13 00:01:917   Output LSCData----->121=0x36
2016-08-13 00:01:917   Output LSCData----->122=0x0B
2016-08-13 00:01:917   Output LSCData----->123=0x36
2016-08-13 00:01:917   Output LSCData----->124=0xA8
2016-08-13 00:01:918   Output LSCData----->125=0x3B
2016-08-13 00:01:918   Output LSCData----->126=0x21
2016-08-13 00:01:918   Output LSCData----->127=0x36
2016-08-13 00:01:919   Output LSCData----->128=0xFB
2016-08-13 00:01:919   Output LSCData----->129=0x35
2016-08-13 00:01:919   Output LSCData----->130=0x8D
2016-08-13 00:01:919   Output LSCData----->131=0x35
2016-08-13 00:01:920   Output LSCData----->132=0x77
2016-08-13 00:01:920   Output LSCData----->133=0x3C
2016-08-13 00:01:920   Output LSCData----->134=0x01
2016-08-13 00:01:921   Output LSCData----->135=0x37
